Table 1
								
								
		Harvesting ie collection of data which may be of use to us here						
	id	description	null	notes				
	0	"are indices, catalogues, or datasets which may contain guides, surveys, or aids eg bibliographies, finding aids"						
	1	"are guides, surveys, finding aids, lists of maps, etc"						
	2	are collections of data items or records						
	3	are data items or records themselves						
	0a	"online indices, catalogues, or datasets"						
	1a	"published guides, surveys, aids, bibliographies, finding aids, lists of maps"						
								
								
								
								
								
								
								
								
		Catálogo cartográfico de Belice (1511-1880) = Cartographic catalog of Belize (1511-1880) /		OCLC: 948253475				
		"Guía del Archivo de Límites y Ríos México-Belice, 1723-1980 /"		OCLC: 948117710				
		Caribe maya : historia y bibliografía de los mayas antiguos /		OCLC: 607862804				
		A bibliography of books on Belize in the national collection : first supplement to the fourth edition /		OCLC: 741949537				
		"A bibliography of published material on Belize as found in the National Collection, the Central Library, Bliss Institute, Belize City /"		OCLC: 894471470				
		"The Third World. Guatemala, Honduras, Belize, Costa Rica, Panama : a bibliography / "		OCLC: 21309843				
		Bibliografia sobre Belice. 		OCLC: 12111590				
		"Belize (British Honduras),"		OCLC: 979627				
		"A bibliography of books on Belize in the national collection : the Central Library, Bliss Institute, Belize City, Belize, 1977"		OCLC: 5505458				
		"A bibliography of books on Belize in the national collection : 
first supplement to the fourth edition : the Central Library, Bliss Institute, Belize City, Belize, 1979."		OCLC: 6994654				
		La frontera Sur de México : breve ensayo bibliográfico / 		OCLC: 3914477				
		"British Honduras; a bibliographical list, compiled by Florence S. Hellman, Chief Bibliographer"		OCLC: 17652288				
		The catalogue of the West India Reference Library		OCLC: 300392834				
		Bibliografia sobre Belice		OCLC: 320047828				
