Table 1
ID	TERM	HIT	LINK	L FT	C FT	TALLY 0	IL YR	IU YR	BL YR	BU YR	COLLECTOR	TITLE	AID 0		AID 1																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=246&fileloc=246_findingaidwinterthurorghtmlhtml_finding_aidsdoc0525htm	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/676869257	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=246&fileloc=246_findingaidwinterthurorghtmlhtml_finding_aidscol0453htm	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/33961103	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=46&fileloc=46_sresearchmysticseaportorgcollcoll023	oclc	eee	eee	eee	eee	eee	eee	eee	Mystic Seaport Museum 	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=397&fileloc=397_ss3amazonawscomharvardeadbak00301xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=388&fileloc=388_sfindingaidshagleyorgrepositories3resources830	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=397&fileloc=397_ss3amazonawscomharvardeadbak00010xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/1012938834	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=246&fileloc=246_findingaidwinterthurorghtmlhtml_finding_aidscol0245htm	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/642590921	oclc	eee	eee	eee	eee	eee	eee	eee	University of Manchester - The John Rylands University Library	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/899065428	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/166638830	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/122555353	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=22&fileloc=22_sresearchworksoclcorgnafaneadsvhlvavi00689xml	oclc	eee	eee	eee	eee	eee	eee	eee	Library of Virginia	mmm	eee		eee																
