C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	REPOSITORY	CITY	COUNTRY	VIA	NOTE	LINK	
		MS	Bib N Esp MSS/d	xxx		xxx						Biblioteca Nacional de España	Madrid	Spain				
		MS	"Real Acad Hist, Col Muñoz, a"	xxx		76	Colección de Juan Bautista Muñoz					Real Academia de la Historia	Madrid	Spain	RAH Catalogue	RAH Catalogue Link: https://www.rah.es/colecciones-de-manuscritos/ 		
		MS	Bib N France MS a	xxx		429	Département des Manuscrits Mexicain					Bibliothèque nationale de France	Paris	France	BnF Catalogue général	BnF Catalogue général Link: https://archivesetmanuscrits.bnf.fr 		
		MS	Bib N France MS a	xxx		77	Département des Manuscrits Amérique					Bibliothèque nationale de France	Paris	France	BnF Catalogue général			
		MS		xxx		xxx						Archives nationales d'outre-mer	Aix-en-Provence	France				
		MS		xxx		xxx						Library of Congress	Washington	USA				
		MS		xxx		xxx						Newberry Library	Chicago	USA				
		MS		xxx		xxx						New York Public Library	New York	USA				
		MS		xxx		xxx						Bancroft Library	Berkeley	USA				
		MS	AGS Estado	1404	1700	5157	Consejo de Estado					Archivo General de Simancas	Valladolid	Spain	PARES			
		MS	AGS Estado	1547	1843	7990	Secretaría de Estado y del Despacho de Guerra					Archivo General de Simancas	Valladolid	Spain	PARES			
		MS	AGS Estado	1265	1833	3149	Secretaría del Despacho de Estado					Archivo General de Simancas	Valladolid	Spain	PARES			
		MS	AGS Mapas y Planos	1503	1959	1355	"Mapas, planos y dibujos"					Archivo General de Simancas	Valladolid	Spain	PARES			
		N		1800	1810		American Citizen	New York	USA						Readex / America’s Historical Newspapers			
		N		1784	1784		American Herald	Boston	USA						Readex / America’s Historical Newspapers			
		N		1719	1746		American Weekly Mercury	Philadelphia	USA						Readex / America’s Historical Newspapers			
		N		1755	1815		Antigua Gazette	St. John’s	Antigua and Barbuda						Readex / America’s Historical Newspapers			
		N		1838	1841		Belize Advertiser	Belize	Belize						Cave 34	Published weekly by Henry Whitney /via Cave 34		
		N		1881	1887		Belize Advertiser	Belize	Belize						Cave 35	Published weekly from the Pinting Office of C. T. Hunter /via Cave 35		
		N		1888	1889		Belize Advertiser	Belize	Belize						Cave 35	Published weekly by George Mitchell /via Cave 35		
		N		1887	1888		Belize Advertiser and British Honduras Gazette	Belize	Belize						Cave 35			
		N		1840	1845		Belize Gazette	Belize	Belize						Cave 34			
		N		1888	1945		Belize Independent	Belize	Belize						Cave 36			
		N		1796	1801		Bell’s Weekly Messenger	London	UK						Gale / Burney Newspapers Collection			
		N		1800	1840		Boston Commercial Gazette	Boston	USA						Readex / America’s Historical Newspapers			
		N		1735	1775		Boston Evening-Post	Boston	USA						Readex / America’s Historical Newspapers			
		N		1719	1798		Boston Gazette	Boston	USA						Readex / America’s Historical Newspapers			
		N		1704	1776		Boston News-Letter	Boston	USA						Readex / America’s Historical Newspapers			
		N		1735	1775		Boston Post-Boy	Boston	USA						Readex / America’s Historical Newspapers			
		N		1867	1868		British Honduras Colonist and Belize Advertiser	Belize	Belize						Cave 34			
		N		1722	1731		British Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1873	1873		Central American Telegraph	Belize	Belize						Cave 35			
		N		1897	1961		Clarion	Belize	Belize						Cave 36			
		N		1882	1913		Colonial Guardian	Belize	Belize						Cave 35			
		N		1864	1866		Colonist	Belize	Belize						Cave 34			
		N		1809	1821		Columbian	New York	USA						Readex / America’s Historical Newspapers			
		N		1790	1840		Columbian Centinel	Boston	USA						Readex / America’s Historical Newspapers			
		N		1867	1867		Commercial Advertiser	Belize	Belize						Cave 35	Possibly printed later than 1867 /Cave 35		
		N		1797	1876		Commercial Advertiser	New York	USA						Readex / America’s Historical Newspapers			
		N		1722	1723		Compleat Set of St. James’s Journals	London	UK						Gale / Burney Newspapers Collection			
		N		1727	1750		Country Journal or the Craftsman	London	UK						Gale / Burney Newspapers Collection			
		N		1792	1800		Courier	London	UK						Gale / Burney Newspapers Collection			
		N		1752	1752		Covent-Garden Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1726	1727		Craftsman [1726]	London	UK						Gale / Burney Newspapers Collection			
		N		1778	1778		Craftsman or London Intelligencer	London	UK						Gale / Burney Newspapers Collection			
		N		1730	1798		Daily Advertiser	London	UK						Gale / Burney Newspapers Collection			
		N		1785	1809		Daily Advertiser	New York	USA						Readex / America’s Historical Newspapers			
		N		1702	1735		Daily Courant	London	UK						Gale / Burney Newspapers Collection			
		N		1735	1748		Daily Gazetteer	London	UK						Gale / Burney Newspapers Collection			
		N		1721	1737		Daily Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1719	1746		Daily Post	London	UK						Gale / Burney Newspapers Collection			
		N		1867	1867		Daly’s Advertising Sheet	Belize	Belize						Cave 34	Possibly printed earlier or later than 1867		
		N		1792	1797		Diary	New York	USA						Readex / America’s Historical Newspapers			
		N		1789	1793		Diary or Woodfall’s Register	London	UK						Gale / Burney Newspapers Collection			
		N		1780	1800		English Chronicle	London	UK						Gale / Burney Newspapers Collection			
		N		1789	1800		Evening Mail	London	UK						Gale / Burney Newspapers Collection			
		N		1801	1876		Evening Post	New York	USA						Readex / America’s Historical Newspapers			
		N		1709	1732		Evening Post [1709]	London	UK						Gale / Burney Newspapers Collection			
		N		1695	1731		Flying Post	London	UK						Gale / Burney Newspapers Collection			
		N		1728	1737		Fog’s Weekly Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1781	1783		Gazette of St. Jago de la Vega	Spanish Town	Jamaica						Readex / Caribbean Newspapers			
		N		1754	1764		Gazetteer and London Daily Advertiser	London	UK						Gale / Burney Newspapers Collection			
		N		1764	1796		Gazetteer and New Daily Advertiser	London	UK						Gale / Burney Newspapers Collection			
		N		1744	1752		General Advertiser [1744]	London	UK						Gale / Burney Newspapers Collection			
		N		1784	1789		General Advertiser [1784]	London	UK						Gale / Burney Newspapers Collection			
		N		1777	1782		General Advertiser and Morning Intelligencer	London	UK						Gale / Burney Newspapers Collection			
		N		1733	1822		General Evening Post	London	UK						Gale / Burney Newspapers Collection			
		N		1743	1746		General London Evening Mercury	London	UK						Gale / Burney Newspapers Collection			
		N		1794	1800		Greenleaf's New York Journal	New York	USA						Readex / America’s Historical Newspapers			
		N		1826	1829		Honduras Gazette and Commercial Advertiser	Belize	Belize						Cave 34			
		N		1840	1848		Honduras Observer	Belize	Belize						Cave 34	Possibly printed later than 1848 /Cave 34		
		N		1769	1770		Independent Chronicle	London	UK						Gale / Burney Newspapers Collection			
		N		1776	1817		Independent Chronicle	Boston	USA						Readex / America’s Historical Newspapers			
		N		1783	1788		Independent Journal	New York	USA						Readex / America’s Historical Newspapers			
		N		1760	1776		Kingston Journal	Kingston	Jamaica						Readex / Caribbean Newspapers			
		N		1757	1805		Lloyd’s Evening Post	London	UK						Gale / Burney Newspapers Collection			
		N		1739	1741		London and Country Journal [1739 Tuesday Edition]	London	UK						Gale / Burney Newspapers Collection			
		N		1757	1823		London Chronicle	London	UK						Gale / Burney Newspapers Collection			
		N		1751	1753		London Daily Advertiser	London	UK						Gale / Burney Newspapers Collection			
		N		1734	1744		London Daily Post and General Advertiser	London	UK						Gale / Burney Newspapers Collection			
		N		1727	1806		London Evening Post	London	UK						Gale / Burney Newspapers Collection			
		N		1748	1752		London Gazetteer	London	UK						Gale / Burney Newspapers Collection			
		N		1720	1744		London Journal [1720]	London	UK						Gale / Burney Newspapers Collection			
		N		1751	1751		London Morning Penny Post	London	UK						Gale / Burney Newspapers Collection			
		N		1769	1836		London Packet or New Evening Post	London	UK						Gale / Burney Newspapers Collection			
		N		1782	1788		Massachusetts Gazette	Boston	USA						Readex / America’s Historical Newspapers	"Published in Springfield, MA, xxx"		
		N		1793	1803		Massachusetts Mercury	Boston	USA						Readex / America’s Historical Newspapers			
		N		1770	1876		Massachusetts Spy	Boston	USA						Readex / America’s Historical Newspapers	"Published in Worcester, MA, xxx"		
		N		1798	1820		Mercantile Advertiser	New York	USA						Readex / America’s Historical Newspapers			
		N		1769	1784		Middlesex Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1796	1797		Minerva	New York	USA						Readex / America’s Historical Newspapers			
		N		1725	1728		Mist’s Weekly Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1802	1807		Morning Chronicle	New York	USA						Readex / America’s Historical Newspapers			
		N		1769	1865		Morning Chronicle [1770]	London	UK						Gale / Burney Newspapers Collection			
		N		1780	1869		Morning Herald	London	UK						Gale / Burney Newspapers Collection			
		N		1772	1937		Morning Post	London	UK						Gale / Burney Newspapers Collection			
		N		1789	1789		Morning Star	London	UK						Gale / Burney Newspapers Collection			
		N		1871	1872		New Era and British Honduras Chronicler	Belize	Belize						Cave 35	Possibly printed later than 1872 /Cave 35		
		N		1727	1741		New-England Weekly Journal	Boston	USA						Readex / America’s Historical Newspapers			
		N		1788	1795		New-York Daily Gazette	New York	USA						Readex / America’s Historical Newspapers			
		N		1759	1767		New-York Gazette	New York	USA						Readex / America’s Historical Newspapers			
		N		1795	1821		New-York Gazette	New York	USA						Readex / America’s Historical Newspapers			
		N		1768	1783		New-York Gazette and Weekly Mercury	New York	USA						Readex / America’s Historical Newspapers			
		N		1743	1770		New-York Gazette or Weekly Post-Boy	New York	USA						Readex / America’s Historical Newspapers			
		N		1782	1784		New-York Gazetteer or Northern Intelligencer	Albany	USA						Readex / America’s Historical Newspapers			
		N		1766	1776		New-York Journal	New York	USA						Readex / America’s Historical Newspapers			
		N		1778	1781		New-York Journal	Poughkeepsie	USA						Readex / America’s Historical Newspapers			
		N		1784	1793		New-York Journal	New York	USA						Readex / America’s Historical Newspapers			
		N		1802	1802		New-York Journal	New York	USA						Readex / America’s Historical Newspapers			
		N		1809	1811		New-York Journal	New York	USA						Readex / America’s Historical Newspapers			
		N		1752	1768		New-York Mercury	New York	USA						Readex / America’s Historical Newspapers			
		N		1783	1792		New-York Morning Post	New York	USA						Readex / America’s Historical Newspapers			
		N		1783	1792		New-York Packet	New York	USA						Readex / America’s Historical Newspapers			
		N		1733	1750		New-York Weekly Journal	New York	USA						Readex / America’s Historical Newspapers			
		N		1885	1886		Observer	Belize	Belize						Cave 35			
		N		1751	1753		Old England or the National Gazette	London	UK						Gale / Burney Newspapers Collection			
		N		1789	1802		Oracle	London	UK						Gale / Burney Newspapers Collection			
		N		1845	1845		Packet Intelligencer	Belize	Belize						Cave 34			
		N		1719	1725		Parker’s London News or the Impartial Intelligencer	London	UK						Gale / Burney Newspapers Collection			
		N		1736	1793		Pennsylvania Gazette	Philadelphia	USA						Readex / America’s Historical Newspapers			
		N		1752	1794		Public Advertiser	London	UK						Gale / Burney Newspapers Collection			
		N		1760	1798		Public Ledger	London	UK						Gale / Burney Newspapers Collection			
		N		1730	1761		Read’s Weekly Journal or British Gazetteer	London	UK						Gale / Burney Newspapers Collection			
		N		1773	1775		Rivington's New-York Gazetteer	New York	USA						Readex / America’s Historical Newspapers			
		N		1777	1777		Rivington's New-York Loyal Gazette	New York	USA						Readex / America’s Historical Newspapers			
		N		1779	1840		Royal Gazette	Kingston	Jamaica							Titles = Jamaica Mercury and Kingston Weekly Advertiser / Royal Gazette / Royal Gazette and Jamaica Times		
		N		1788	1788		Savanna-la-Mar Gazette	Savanna-la-Mar	Jamaica						Readex / Caribbean Newspapers			
		N		1797	1851		Spectator	New York	USA						Readex / America’s Historical Newspapers			
		N		1761	1822		St. James's Chronicle or the British Evening Post	London	UK						Gale / Burney Newspapers Collection			
		N		1715	1751		St. James’s Evening Post	London	UK						Gale / Burney Newspapers Collection			
		N		1788	1831		Star and Evening Advertiser [1788]	London	UK						Gale / Burney Newspapers Collection			
		N		1785	2021		Times	London	UK						Gale / Burney Newspapers Collection			
		N		1894	1896		Times of Central America	Belize	Belize						Cave 36			
		N		1793	1804		True Briton [1793]	London	UK						Gale / Burney Newspapers Collection			
		N		1728	1746		Universal Spectator and Weekly Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1715	1730		Weekly Journal or British Gazetteer	London	UK						Gale / Burney Newspapers Collection			
		N		1716	1725		Weekly Journal or Saturday’s Post	London	UK						Gale / Burney Newspapers Collection			
		N		1764	1794		Westminster Journal and London Political Miscellany	London	UK						Gale / Burney Newspapers Collection			
		N		1746	1802		Whitehall Evening post [1770]	London	UK						Gale / Burney Newspapers Collection			
		P		xxx		3	Documentos para la historia de Yucatán	Merida	Mexico	1936	1938				Gerhard xi	Recopilados por France V. Scholes y publicados por Carlos R. Menéndez		
		P		1520	1844	1	Relación documental para la historia de la provincia de Yucatán	Merida	Mexico	1992	1992					By Sergio Quezada		
		P		xxx		1	Documentos sobre Belice o Balice	Mexico	Mexico	1958	1958					Edited by Gustavo A. Pérez Trejo		
		P		xxx		1	"Boletín Bibliográfico de la Secretaría de Hacienda y Crédito Público, nos. 394—5, Una página histórica sobre Belice "	Mexico	Mexico	1968	1968				Gerhard 75	By Gustavo A. Pérez Trejo		
