Table 1
			mm	dd	U mm	U dd	Newspaper	State	Academic	Press		Hazard	By	On	Place	Place	Place	Source	Title	Place	ID	Collection	Source	Name	Title	R Deaths	R Deaths
21 May 1857	57	18			05	21	1					Outbreak		Creole				NY Herald 13 Jun 1857 issue 7591	New York Herald	New York	7591	Readex	NewsBank		Smallpox		
1 Jul 1860	60	18			07	01	1					Outbreak						Times-Picayune 12 Sep 1860	Times-Picayune	New Orleans	XXIV 198	Readex	NewsBank		Yellow fever		
31 Mar 1863	63	18	03			31	1		1			Fire			Belize			"The Growth and Development of Belize City by Everitt, J.C.; Daily News 5281; Sir J.A. Burdon, Archives v 3, p. 249"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon			
13 Aug 1863	63	18	08	13			1					Assault	Soldiers		Belize			"NY Herald 9 Sep 1863, 17 Sep 1863"	New York Herald	New York	1863	Readex	NewsBank		West India Regiment Assaults		
28 Aug 1864	64	18	08	28			1					Gales						Times-Picayune 15 Oct 1864	Times-Picayune	New Orleans	XXVIII 189	Readex	NewsBank				
15 Sep 1864	64	18	09			15	1					Flood			Belize			NY Herald 5 Nov 1864	New York Herald	New York	10296	Readex	NewsBank				
1 Jun 1865	65	18			06	01		1				Outbreak		Arrivals				"Sir J.A. Burdon, Archives v 3, p. 313"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon	Yellow fever		
2 May 1866	66	18	05	02				1				Raid	Maya		Qualm Hill			"Sir J.A. Burdon, Archives v 3, p. 29"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon			
21 Dec 1866	66	18	12	21				1				Raid	Maya		San Pedro			"Sir J.A. Burdon, Archives v 3, p. 30"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon			
28 Dec 1866	66	18	12	28				1				Assault	Baymen	Maya	San Pedro			"Sir J.A. Burdon, Archives v 3, p. 30"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon			
3 Feb 1867	67	18	02	03				1				Assault	Baymen	Maya	San Pedro			"Sir J.A. Burdon, Archives v 3, p. 32"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon			
9 Feb 1867	67	18	02	09				1				Outbreak						"Sir J.A. Burdon, Archives v 3, p. 299"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon	Cholera		
13 Feb 1867	67	18	02	13				1				Raid	Maya		Indian Church	Mt. Hope		"Sir J.A. Burdon, Archives v 3, p. 32"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon			
31 Dec 1867	67	18			12	31		1				Raid	Maya		San Jose	Naranhal	Chorro	"Sir J.A. Burdon, Archives v 3, p. 32"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon			
17 Apr 1870	70	18	04	17				1				Raid	Maya		Corozal			"Sir J.A. Burdon, Archives v 3, p. 38"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon	Siege of Corozal		
31 Aug 1872	72	18	08	31				1				Raid	Maya		Water Bank			"Sir J.A. Burdon, Archives v 3, p. 328"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon			
1 Sep 1872	72	18	09	1				1				Assault	Maya		Orange Walk			"Sir J.A. Burdon, Archives v 3, p. 41"	Archives of British Honduras …	London	III		"Sifton, Praed & Co."	Sir J.A. Burdon	Battle of Orange Walk		
15 Nov 1894	94	18	11			15	1					Riot	Constables					NYT “Police Revolt in Honduras” 12 Dec 1894 p. 5	New York Times	New York	XLIV 13512	TimesMachine	New York Times		Constables’ Riots		
15 Jan 1905	05	19	01			15		1				Outbreak						Report to the Government of British Honduras … by Sir R.W. Boyce p. 5	Report to the Government of British Honduras …	London			Waterlow & Sons	Sir R.W. Boyce	Yellow fever		
26 Oct 1915	15	19	10	26				1				Assault	Central	Allied				Commonwealth War Graves Commission for 39 from BHTF and 12 from BWIR (whose biographies mentioned provenance); The Lusitania Resource for 2 perished in RMS Lusitania		Maidenhead			Commonwealth War Graves Commission		WWI		
17 Aug 1918	18	19	08	17				1				Fire			Belize			"Honduras Governor Killed, article in The Washington Post, 13 Sep 1918"	Philadelphia Inquirer	Philadelphia	CLXXIX 63	Newspapers.com	Ancestry				
17 Oct 1918	18	19	10	17			1					Outbreak						Report on recent epidemic of influenza in the town of Belize by Sgd. Thomas Gann 1919; Report on the influenza epidemic in the Districts by Thomas Gann 1919	Social History of Medicine	Oxford	10.1093/shm/7.1.59		Society for the Social History of Medicine	Prof. D. Killingray	Spanish flu		
22 Jul 1919	19	19	07	22			1					Riot	Servicemen		Belize				Amandala	Belize			Amandala		Ex-Servicemen’s Riots		
24 Aug 1921	21	19	08	24			1		1			Outbreak						"Public Health Reports, 26 Aug 1921, p 2084; NYT xxx"	New York Times	New York	LXX 23224	TimesMachine	New York Times		Yellow fever		
10 Sep 1931	31	19	09	10				1				Storm								University Park		HURDAT 2	NOAA NHC		1931 Hurricane		
13 Sep 1931	31	19	09	13			1					Fire			Belize			NYT 14 Sep 1931 p. 7	New York Times	New York	LXXX 26896	TimesMachine	New York Times				
17 Apr 1932	32	19	04	17			1					Fire			Belize			"NYT “$250,000 Fire in Belize” 19 April 1932 p. 3"	New York Times	New York	LXXXI 27114	TimesMachine	New York Times				
19 Oct 1939	39	19	10	19				1				Assault	Axis	Allied				"Commonwealth War Graves Commission for 4 from RAF, 6 from NCF, whose biographies mentioned provenance"		Maidenhead			Commonwealth War Graves Commission		WWII		
19 Feb 1950	50	19			02	19	1					Riot						NYT “Princess Cancels Visit” 20 Feb 1950 p. 10	New York Times	New York	XCIX 33630	TimesMachine	New York Times		Devaluation Riots		
31 Oct 1953	53	19	10			31	1					Fire			Belize			NYT “Artist Arsonist gets 15 Years” 20 May 1954 p. 35	New York Times	New York	CIII 35180	TimesMachine	New York Times				
27 Sep 1955	55	19	09	27				1				Storm								University Park		HURDAT 2	NOAA NHC				
15 Jul 1960	60	19	07	15				1				Storm								University Park		HURDAT 2	NOAA NHC				
31 Oct 1961	61	19	10	31				1				Storm								University Park		HURDAT 2	NOAA NHC		Hurricane Hattie		
2 Sep 1974	74	19	09	02				1				Storm								University Park		HURDAT 2	NOAA NHC				
19 Sep 1974	74	19	09	19				1				Storm								University Park		HURDAT 2	NOAA NHC				
19 Sep 1978	78	19	09	19				1				Storm								University Park		HURDAT 2	NOAA NHC				
31 Mar 1981	81	19			03	31	1					Riot	Opposition					NYT “A State of Emergency is Declared in Belize” 3 Apr 1981 p. 7; “Belize is Quiet After Rioting Over Independence Pact” 4 Apr 1981 p. 24	New York Times	New York	CXXX 44907	TimesMachine	New York Times				
31 Dec 1986	86	19			12	31		1				Outbreak						Belize Ministry of Health; Belize National AIDS Commission		Belmopan			Ministry of Health		HIV / AIDS		
29 Oct 1998	98	19	10	29				1				Storm								University Park		HURDAT 2	NOAA NHC				
2 Oct 2000	00	20	10	02				1				Storm								University Park		HURDAT 2	NOAA NHC				
21 Aug 2001	01	20	08	21				1				Storm								University Park		HURDAT 2	NOAA NHC				
9 Oct 2001	01	20	10	09				1				Storm								University Park		HURDAT 2	NOAA NHC				
18 Nov 2005	05	20	11	18				1				Storm								University Park		HURDAT 2	NOAA NHC				
20 Aug 2007	07	20	08	20				1				Storm								University Park		HURDAT 2	NOAA NHC				
15 May 2008	08	20	05	15				1				Flood						Channel 7 News 2 Jun 2008	Channel 7 News	Belize			Channel 7 News				
31 May 2008	08	20	05	31				1				Storm								University Park		HURDAT 2	NOAA NHC				
7 Jul 2009	09	20	07	07				1				Outbreak						"Shahera Bodden, 29, is Belize’s 1st confirmed death from swine flu, article in Amandala, 17 Jan 2014, online"	Amandala	Belize			Amandala		Swine flu		
27 Jun 2010	10	20	06	27				1				Storm								University Park		HURDAT 2	NOAA NHC				
25 Oct 2010	10	20	10	25				1				Storm								University Park		HURDAT 2	NOAA NHC				
8 Aug 2012	12	20	08	08				1				Storm								University Park		HURDAT 2	NOAA NHC				
4 Aug 2016	16	20	08	04				1				Storm								University Park		HURDAT 2	NOAA NHC				
23 Mar 2019	19	20	03	23				1				Outbreak						Belize Ministry of Health		Belmopan			Ministry of Health		COVID-19		
?												Storm			St Georges			C.2598 p 90									
