Table 1
	King?	Q end	Start OS	End OS	In	Log	p	img	Date OS	Name	for	Note								
						90	h	575	13 mar	80 ship Bristol										
						40	h	575	12 apr	40 sloop Bos										
																				
																				
																				
																				
579			25 Jun 1728	29 Sep 1728	1	25	h	579	aug 15 1728	12 sloop Bermuda										
582			29 Sep 1728	25 Dec 1728	1	15	h	582	9 dec	15 sloop NE										
585			25 Dec 1728	25 Mar 1729	1															
589			25 Mar 1729	24 Jun 1729	1	30	h	589	27 may 1729	20 sloop NE										
593			25 Jun 1729	29 Sep 1729	1	8	h	593	8 aug	20 sloop Lon										
597			29 Sep 1729	25 Dec 1729	1	50	h	597	12 nov	50 snow jam										
601			25 Dec 1729	25 Mar 1730	1	40	curacao	601	13 jan 1729	80 ship lon										
						12	h	601	27 jan	20 schooner ?										
						26	h	601	3 feb	22 sloop Lon										
						12	Rio de la Hacha	601	11 feb	30 ship NY										
						15	Rio de la Hacha	601	11 feb	30 sloop jam										
						35	h	601	17 feb	45 ship bos										
						80	h	603	20 Feb	50 ship bos										
																				
						3	Spanish Coast	603	13 mar	30 sloop NE										
						10	Sp. Coast	603	18 mar	50 sloop jam										
						40	h	603	20 mar	40 sloop jam										
						2	New Providence	603	23 mar	12 sloop New Providence										
607			29 Sep 1742	25 Dec 1742	1	100	h	611	27 oct	90 ship NY		cont. img611 // missing Sep for Kingston?								
						55	h	612	9 nov	40 snow Bos										
609			29 Sep 1742	25 Dec 1742	0	169						cont. img615								
621			1 Oct 1743	20 Jun 1747	0	10						to Boston								
						6														
						12						to Virginia								
						10														
						20														
						6														
						9														
						10														
						16						to Boston								
						5						+ 520 Billets								
						3.5						to Sp. Coast img628								
						2														
						10						to Boston; stopped noting hereafter; img632								
						39														
						33														
						1														
						7						est								
						0.5														
						6														
						6														
						23														
						8														
						6.5														
						4														
						6														
						15														
						10														
						3														
						10														
						4														
						10														
						10														
669			10 May 1747	18 Jun 1747	1															
671			25 Mar 1743	29 Sep 1743	1	90	h	671	18 apr	90 ship NY										
						75	h	674	21 may	80 ship Lon										
						144	h	678	30 jul	100 ship jam										
680			29 Sep 1743	25 Mar 1744	1	40	Ratan	682	24 nov	26 bilander Lon										
						11	Mosquito C.	686	1 feb	25 schooner bos										
						35	h	688	2 mar	35 schooner bos										
692			25 Mar 1744	29 Sep 1744	1	40	Ruatan	692	26 apr	25 brig jam										
						2	Sp. Coast	696	11 jul	25 schooner bos										
700			1 Oct 1744	25 Dec 1744	1	27	Musketo Shore	703	26 oct	25 schooner ?										
						40	Rattan	703	26 oct	70 sloop bos										
						130	Rattan	703	14 dec	90 snow jam										
705			25 Dec 1744	25 Mar 1745	1															
709			25 Mar 1745	24 Jun 1747	1	60	Santa Cruz	709	mar 25 1745	30 sloop bos										
						10	Rattan	733	11 apr 1747	60 ship jam										
						15	Rattan	735	12 may 1747	15 sloop jam										
						7	Sp. Coast	737	24 oct 1743	15 sloop jam										
						24	Rattan	740	19 feb 1746	? ? Rattan										
745			29 Sep 1745	25 Mar 1746	0							Stopped recording exports								
747			25 Sep 1745	25 Mar 1746	1															
759			24 Jun 1747	25 Mar 1748	1															
763			25 Jun 1747	25 Sep 1747	1															
778			25 Dec 1747	25 Mar 1748	1							stopped at 782								
786			24 Mar 1748	20 Jun 1749	1	30	Rattan	796	10 nov 1747	50 sloop bos		"cont. img802 … 810 … 818, rev date"								
						8	Rattan	804	31 jan 1748	18 schooner Providence										
826			29 Sep 1752	25/12/1752	1															
838			25 Dec 1751	25 Mar 1752	1	90	h	838	6 jan 1751	40 sloop NY		lists no. sailors								
						22.5	h	838	18 jan 1751	25 sloop Antegua										
						90	h	842	15 feb	40 sloop Bermuda		"blurry, est"								
						450	h	842	18 feb	400 ship Lon										
844			25 Mar 1752	25 Jun 1752	1	95	h	844	26 mar 1752	100 mar jam										
						100	h	844	4 april	200 ship bos										
						60	h	844	15 apr	100 ship lon										
848			25 Jun 1752	29 Sep 1752	1	5	Mosq.	848	29 aug 1752	20 schooner jam										
865			25 Dec 1752	25 Mar 1753	1	70	h	865	30 dec 1752	35 sloop NY										
						80	h	865	30 dec	40 sloop jam										
						80	h	873	10 mar	35 schooner NY										
						40	h	875	22 mar	45 sloop Newport										
890			25 Mar 1753	25 Jun 1753	1	75	h	894	29 may	40 sloop jam										
						65	h	894	30 may	65 brig Newport										
919			25 Jun 1753	29 Sep 1753	1	40	h	921	12 sep 1753	40 sloop jam		+ 22 mules; 25 tons Nic. wood								
