Table 1
No	Start	End	Value		Sum	US	Jam	Span / Mosq	Mosq	Other			Car GA FL	NE NY Prov PA	Vi Mary	Canada	Jam	WI	Span WI	Prize		Car GA FL	NE NY Prov PA	Vi Mary	Can	Jam	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize							
62	mas 61	mas 62	10 to 14		"1,984"	559.548958333333	1389.11875	0	0	35			2880	2880	2880	2880	2880	2880	2880	2880		24.6739583333333	534.875	0	0	1389.11875	35	0	0	0		0/0/0	156/0/0	0/0/0	1164/0/0	0/0/0	0/0/0	2133/15/9	1746/0/0	0/0/0	0/0/0	13938/17/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	140/1/9	0/0/0	120/0/0	0/0/0	1254/14/3	0/0/0	0/0/0	0/0/0	2730/11/6	0/0/0	168/0/0	252/0/0	0/0/0	0/0/0	0/0/0	0/0/0			156/0/0		1164/0/0			2133/15/9	1746/0/0			13938/17/0									140/1/9		120/0/0		1254/14/3				2730/11/6		168/0/0	252/0/0											
63	mas 62	mas 63	10 to 14		"3,567"	873.705208333333	1659.07986111111	0	0	1034.42604166667			2880	2880	2880	2880	2880	2880	2880	2880		29.5614583333333	819.14375	25	3	1659.07986111111	995.426041666667	0	0	36		36/0/0	294/0/0	0/0/0	384/0/0	0/0/0	720/0/0	6684/0/0	1344/0/0	300/0/0	6/0/0	16317/15/0	9948/0/0	60/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	432/0/0	60/14/9	0/0/0	235/16/0	0/0/0	461/18/6	0/0/0	0/0/0	0/0/0	3591/4/2	1931/2/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0		36/0/0	294/0/0		384/0/0		720/0/0	6684/0/0	1344/0/0	300/0/0	6/0/0	16317/15/0	9948/0/0	60/0/0						432/0/0	60/14/9		235/16/0		461/18/6				3591/4/2	1931/2/3													
64	mas 63	mas 64	10 to 14		"4,503"	2458.33958333334	1593.24722222222	309.5	0	141.6375			2880	2880	2880	2880	2880	2880	2880	2880		37.8916666666667	2360.44791666667	60	0	1593.24722222222	141.6375	309.5	0	0		0/0/0	282/0/0	0/0/0	3672/0/0	0/0/0	240/0/0	8549/8/0	6000/0/0	0/0/0	0/0/0	12534/6/0	1681/13/0	0/0/0	0/0/0	18/0/0	0/0/0	3714/0/0	0/0/0	0/0/0	0/0/0	0/0/0	122/14/5	172/14/0	6301/19/1	3439/6/0	720/0/0	0/0/0	6584/13/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			282/0/0		3672/0/0		240/0/0	8549/8/0	6000/0/0			12534/6/0	1681/13/0			18/0/0		3714/0/0					122/14/5	172/14/0	6301/19/1	3439/6/0	720/0/0		6584/13/4														
65	mas 64	mas 65	10 to 14		"6,058"	2525.53368055556	2649.43576388889	685	0	198.029166666667			2880	2880	2880	2880	2880	2880	2880	2880		393.15	2132.38368055556	0	0	2649.43576388889	198.029166666667	685	0	0		0/0/0	3738/0/0	684/0/0	3603/0/0	0/0/0	0/0/0	13371/14/5	2220/0/0	0/0/0	120/0/0	24633/0/0	2040/0/0	168/0/0	0/0/0	0/0/0	0/0/0	7092/0/0	0/0/0	0/0/0	295/16/0	0/0/0	3185/8/0	0/0/0	2575/2/0	633/7/8	0/0/0	48/7/0	7160/4/7	0/0/0	0/0/0	0/0/0	0/0/0	1128/0/0	0/0/0	0/0/0			3738/0/0	684/0/0	3603/0/0			13371/14/5	2220/0/0		120/0/0	24633/0/0	2040/0/0	168/0/0				7092/0/0			295/16/0		3185/8/0		2575/2/0	633/7/8		48/7/0	7160/4/7					1128/0/0									
66	mas 65	mas 66	10 to 14		"10,539"	3902.01701388889	5363.540625	674.903472222222	0	598.35			2880	2880	2880	2880	2880	2880	2880	2880		733.880902777778	3157.96111111111	10.175	0	5363.540625	598.35	674.903472222222	0	0		0/0/0	4038/0/0	0/0/0	4569/9/2	1080/0/0	240/0/0	15549/0/0	7642/4/0	84/0/0	2068/4/0	49420/13/9	1440/0/0	24/0/0	3408/0/0	240/0/0	0/0/0	4488/0/0	0/0/0	0/0/0	1030/17/4	1560/0/0	3696/18/1	1097/14/1	5717/19/5	480/0/0	38/2/0	0/0/0	14941/16/0	0/0/0	0/0/0	0/0/0	0/0/0	3610/16/10	0/0/0	0/0/0			4038/0/0		4569/9/2	1080/0/0	240/0/0	15549/0/0	7642/4/0	84/0/0	2068/4/0	49420/13/9	1440/0/0	24/0/0	3408/0/0	240/0/0		4488/0/0			1030/17/4	1560/0/0	3696/18/1	1097/14/1	5717/19/5	480/0/0	38/2/0		14941/16/0					3610/16/10									
67	mas 66	mas 67	10 to 14		"9,099"	3159.30451388888	4546.13923611111	1185.50659722222	0	207.55			2880	2880	2880	2880	2880	2880	2880	2880		1132.83506944444	1906.46944444444	120	0	4546.13923611111	207.55	1185.50659722222	0	0		0/0/0	4248/0/0	5326/12/0	1368/0/0	720/0/0	240/0/0	11511/0/0	3012/0/0	1440/0/0	240/0/0	37377/17/6	0/0/0	1524/0/0	714/0/0	0/0/0	0/0/0	13838/15/7	0/0/0	0/0/0	1013/8/5	2286/0/0	5079/9/6	0/0/0	1441/1/0	226/2/2	0/0/0	0/0/0	17175/15/11	6/12/0	6/0/0	0/0/0	0/0/0	387/6/0	0/0/0	0/0/0			4248/0/0	5326/12/0	1368/0/0	720/0/0	240/0/0	11511/0/0	3012/0/0	1440/0/0	240/0/0	37377/17/6		1524/0/0	714/0/0			13838/15/7			1013/8/5	2286/0/0	5079/9/6		1441/1/0	226/2/2			17175/15/11	6/12/0	6/0/0			387/6/0									
68	mas 67	mas 68	10 to 14		"9,598"	3848.24270833333	3014.96979166667	2356.1	0	378.281944444444			2880	2880	2880	2880	2880	2880	2880	2880		1300.590625	2541.75208333333	5.9	0	3014.96979166667	378.281944444444	2356.1	0	0		0/0/0	7333/16/6	6639/0/0	1224/0/0	0/0/0	1500/0/0	12813/0/0	4761/0/0	0/0/0	0/0/0	26572/9/1	0/0/0	5/0/0	474/19/6	1332/0/0	2148/0/0	24937/4/0	0/0/0	0/0/0	1634/5/3	0/0/0	1542/18/0	0/0/0	7526/15/2	1133/7/4	70/16/0	0/0/0	9607/3/8	296/12/8	246/11/0	36/4/6	0/0/0	3336/0/0	0/0/0	0/0/0			7333/16/6	6639/0/0	1224/0/0		1500/0/0	12813/0/0	4761/0/0			26572/9/1		5/0/0	474/19/6	1332/0/0	2148/0/0	24937/4/0			1634/5/3		1542/18/0		7526/15/2	1133/7/4	70/16/0		9607/3/8	296/12/8	246/11/0	36/4/6		3336/0/0									
69	mas 68	mas 69	10 to 14		"10,368"	1884.80416666667	2383.88541666667	5564.33125	0	534.760416666667			2880	2880	2880	2880	2880	2880	2880	2880		206.5	1663.30416666667	15	0	2383.88541666667	534.760416666667	5564.33125	0	0		0/0/0	2178/0/0	0/0/0	2680/16/1	300/0/0	593/8/11	7260/0/0	2712/0/0	0/0/0	156/0/0	23393/16/6	0/0/0	1200/0/0	528/0/0	0/0/0	0/0/0	59532/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1144/16/0	0/0/0	3122/15/10	2445/16/2	180/0/0	0/0/0	5212/16/0	255/14/3	4277/8/3	0/0/0	0/0/0	7239/19/6	0/0/0	0/0/0			2178/0/0		2680/16/1	300/0/0	593/8/11	7260/0/0	2712/0/0		156/0/0	23393/16/6		1200/0/0	528/0/0			59532/0/0					1144/16/0		3122/15/10	2445/16/2	180/0/0		5212/16/0	255/14/3	4277/8/3			7239/19/6									
70	mas 69	mas 70	10 to 14		"10,590"	2473.878125	1924.56701388889	6116.875	33	42			2880	2880	2880	2880	2880	2880	2880	2880		289.400347222222	2176.87777777778	7.6	0	1924.56701388889	42	6116.875	33	0		0/0/0	678/10/6	960/0/0	6608/15/2	0/0/0	63/2/4	10656/18/0	2632/13/9	0/0/0	0/0/0	14506/18/3	0/0/0	264/0/0	240/0/0	0/0/0	0/0/0	67320/0/0	0/0/0	0/0/0	1834/5/7	0/0/0	1266/1/3	0/0/0	3250/2/11	1644/17/3	91/4/0	0/0/0	8587/17/10	0/0/0	0/0/0	0/0/0	0/0/0	6082/10/0	394/4/6	0/0/0			678/10/6	960/0/0	6608/15/2		63/2/4	10656/18/0	2632/13/9			14506/18/3		264/0/0	240/0/0			67320/0/0			1834/5/7		1266/1/3		3250/2/11	1644/17/3	91/4/0		8587/17/10					6082/10/0	394/4/6								
71	mas 70	mas 71	10 to 14		"3,466"	894.592708333333	1043.53645833333	1186.08125	224	117.951736111111			2880	2880	2880	2880	2880	2880	2880	2880		435.673611111111	436.919097222222	22	0	1043.53645833333	117.951736111111	1186.08125	224	0		0/0/0	2032/2/6	1597/10/7	1174/10/0	17/7/4	0/0/0	0/0/0	528/0/0	144/0/0	180/0/0	6666/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	12735/14/5	2688/0/0	0/0/0	1175/4/0	0/0/0	513/0/10	405/17/3	2977/9/1	50/0/8	120/0/0	587/17/0	5856/8/9	59/14/5	587/17/0	0/0/0	0/0/0	1497/5/1	0/0/0	0/0/0			2032/2/6	1597/10/7	1174/10/0	17/7/4			528/0/0	144/0/0	180/0/0	6666/0/0						12735/14/5	2688/0/0		1175/4/0		513/0/10	405/17/3	2977/9/1	50/0/8	120/0/0	587/17/0	5856/8/9	59/14/5	587/17/0			1497/5/1									
72	mas 71	mas 72	10 to 14		"6,663"	1782.4375	1565.00694444444	3087.74444444444	174	54			2880	2880	2880	2880	2880	2880	2880	2880		273.359722222222	1509.07777777778	0	0	1565.00694444444	54	3087.74444444444	174	0		0/0/0	1608/0/0	1428/0/0	1586/8/0	18/0/0	617/7/7	11140/18/0	1104/0/0	0/0/0	240/0/0	9818/2/10	48/0/0	360/0/0	0/0/0	0/0/0	0/0/0	29988/0/0	2088/0/0	0/0/0	226/6/4	0/0/0	0/0/0	0/0/0	2011/18/6	1648/6/7	0/0/0	0/0/0	8961/18/10	0/0/0	0/0/0	0/0/0	0/0/0	7064/18/8	0/0/0	0/0/0			1608/0/0	1428/0/0	1586/8/0	18/0/0	617/7/7	11140/18/0	1104/0/0		240/0/0	9818/2/10	48/0/0	360/0/0				29988/0/0	2088/0/0		226/6/4				2011/18/6	1648/6/7			8961/18/10					7064/18/8									
73	mas 72	mas 73	10 to 14		"2,181"	485.490625	771.498611111111	727.272916666667	135	61.728125			2880	2880	2880	2880	2880	2880	2880	2880		109.621875	375.71875	0.15	0	771.498611111111	61.728125	727.272916666667	135	0		0/0/0	432/0/0	156/0/0	145/4/0	0/0/0	360/0/0	1464/0/0	432/0/0	1/16/0	0/0/0	5662/18/3	0/0/0	96/0/0	0/0/0	0/0/0	0/0/0	5469/12/0	1620/0/0	0/0/0	727/9/3	0/0/0	56/1/5	0/0/0	905/9/7	1145/17/6	0/0/0	0/0/0	3595/1/5	163/7/3	481/7/6	0/0/0	0/0/0	3257/13/6	0/0/0	0/0/0			432/0/0	156/0/0	145/4/0		360/0/0	1464/0/0	432/0/0	1/16/0		5662/18/3		96/0/0				5469/12/0	1620/0/0		727/9/3		56/1/5		905/9/7	1145/17/6			3595/1/5	163/7/3	481/7/6			3257/13/6									
74	mas 73	mas 74	10 to 14		"1,978"	316.44375	829.980208333333	757.6375	74	0			2880	2880	2880	2880	2880	2880	2880	2880		186.177083333333	128.266666666667	2	0	829.980208333333	0	757.6375	74	0		0/0/0	996/0/0	840/0/0	0/0/0	84/0/0	0/0/0	300/0/0	684/0/0	0/0/0	0/0/0	6264/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	6744/0/0	888/0/0	0/0/0	166/10/6	0/0/0	0/0/0	147/12/0	212/16/0	342/8/0	24/0/0	0/0/0	3695/15/3	0/0/0	0/0/0	0/0/0	0/0/0	2347/13/0	0/0/0	0/0/0			996/0/0	840/0/0		84/0/0		300/0/0	684/0/0			6264/0/0						6744/0/0	888/0/0		166/10/6			147/12/0	212/16/0	342/8/0	24/0/0		3695/15/3					2347/13/0									
75	mas 74	mas 75	10 to 14		"2,754"	443.125347222222	716.746875	1499.803125	30	64.6510416666667			2880	2880	2880	2880	2880	2880	2880	2880		108.398958333333	334.726388888889	0	0	716.746875	64.6510416666667	1499.803125	30	0		0/0/0	582/0/0	0/0/0	0/0/0	360/0/0	0/0/0	1812/0/0	324/0/0	0/0/0	0/0/0	6106/0/1	48/0/0	348/0/0	144/0/0	0/0/0	0/0/0	14484/0/0	360/0/0	0/0/0	358/15/9	0/0/0	0/0/0	0/0/0	1529/7/10	351/6/6	0/0/0	0/0/0	2494/19/2	223/16/3	12/0/0	0/0/0	0/0/0	3513/12/9	0/0/0	0/0/0			582/0/0			360/0/0		1812/0/0	324/0/0			6106/0/1	48/0/0	348/0/0	144/0/0			14484/0/0	360/0/0		358/15/9				1529/7/10	351/6/6			2494/19/2	223/16/3	12/0/0			3513/12/9									
76	mas 75	mas 76	10 to 14		"1,548"	15.5420138888889	686.364236111111	773.365625	0	73.0836805555556			2880	2880	2880	2880	2880	2880	2880	2880		8.75833333333333	6.78368055555556	0	0	686.364236111111	73.0836805555556	773.365625	0	0		0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	5553/0/0	84/0/0	120/0/0	57/17/1	48/0/0	84/0/0	6060/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	105/2/0	81/8/1	0/0/0	0/0/0	241/11/6	2683/7/5	241/11/6	0/0/0	0/0/0	0/0/0	3220/7/9	0/0/0	0/0/0												5553/0/0	84/0/0	120/0/0	57/17/1	48/0/0	84/0/0	6060/0/0						105/2/0	81/8/1			241/11/6	2683/7/5	241/11/6				3220/7/9									
77	mas 76	mas 77	10 to 14		"1,893"	416.721875	735.794444444444	625.85625	0	114.596180555556			2880	2880	2880	2880	2880	2880	2880	2880		0	416.721875	0	0	735.794444444444	114.596180555556	625.85625	0	0		0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	122/13/3	4878/0/0	0/0/0	0/0/0	0/0/0	5574/0/0	504/0/0	480/0/0	24/0/0	0/0/0	0/0/0	4260/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	3255/10/8	79/19/5	287/3/8	0/0/0	0/0/0	3250/5/6	0/0/0	0/0/0							122/13/3	4878/0/0				5574/0/0	504/0/0	480/0/0	24/0/0			4260/0/0											3255/10/8	79/19/5	287/3/8			3250/5/6									
78	mas 77	mas 78	10 to 14		"2,264"	147.775347222223	1189.52118055556	855.515972222222	40	31.434375			2880	2880	2880	2880	2880	2880	2880	2880		42.8336805555556	104.941666666667	0	0	1189.52118055556	17.903125	855.515972222222	40	14		0/0/0	0/0/0	372/0/0	120/0/0	0/0/0	0/0/0	1139/6/0	0/0/0	0/0/0	0/0/0	7944/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	8652/0/0	480/0/0	162/7/6	0/0/0	142/0/1	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	6330/5/1	192/12/0	22/4/9	0/0/0	0/0/0	1614/3/10	0/0/0	0/0/0				372/0/0	120/0/0			1139/6/0				7944/0/0						8652/0/0	480/0/0	162/7/6		142/0/1							6330/5/1	192/12/0	22/4/9			1614/3/10									
79	mas 78	mas 79	10 to 14		"4,403"	98.5576388888889	3709.98923611111	243.35	0	351.557638888889			2880	2880	2880	2880	2880	2880	2880	2880		30.15	68.4076388888889	0	0	3709.98923611111	74.9534722222222	243.35	0	277		0/0/0	0/0/0	361/16/0	0/0/0	0/0/0	300/0/0	312/0/0	0/0/0	0/0/0	0/0/0	30330/0/0	696/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1344/0/0	0/0/0	2100/16/0	0/0/0	0/0/0	0/0/0	0/0/0	208/17/10	0/0/0	0/0/0	0/0/0	14189/17/5	203/8/10	0/0/0	0/0/0	0/0/0	1576/4/0	0/0/0	1218/9/0				361/16/0			300/0/0	312/0/0				30330/0/0	696/0/0					1344/0/0		2100/16/0					208/17/10				14189/17/5	203/8/10				1576/4/0		1218/9/0							
80	mas 79	mas 80	9 to 15		"4,296"	238.481597222222	3989.98125	0	45	22.5875			2880	2880	2880	2880	2880	2880	2880	2880		32.2642361111111	206.217361111111	0	0	3989.98125	8	0	45	15		0/0/0	0/0/0	0/0/0	0/0/0	288/0/0	0/0/0	2236/4/0	0/0/0	0/0/0	24/0/0	31206/15/0	72/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	540/0/0	0/0/0	99/3/5	0/0/0	0/0/0	0/0/0	238/8/2	0/0/0	0/0/0	0/0/0	16673/0/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	175/1/0						288/0/0		2236/4/0			24/0/0	31206/15/0	72/0/0						540/0/0		99/3/5				238/8/2				16673/0/6							175/1/0							
