Table 1
No	Start	End	Value		Sum	US	Jam	Span / Mosq	Mosq	Other			Car GA FL	NE NY Prov PA	Vi Mary	Canada	Jam	WI	Span WI	Prize		Car GA FL	NE NY Prov PA	Vi Mary	Can	Jam	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize							
19	mas 16	mas 17	10 to 14		"1,148"	339.073958333333	578.044444444444	156.994791666667	0	74.3354166666667			2880	2880	2880	2880	2880	2880	2880	2880		105.170138888889	224.247222222222	9.65659722222222	0	578.044444444444	74.3354166666667	156.994791666667	0	0		0/0/0	887/17/2	0/0/0	1176/7/11	0/0/0	0/0/0	339/15/4	0/0/0	39/0/0	305/19/6	5582/8/2	0/0/0	0/0/0	0/0/0	341/8/0	0/0/0	1883/18/9	0/0/0	0/0/0	374/3/8	0/0/0	533/11/0	0/0/0	633/10/4	7/14/9	76/17/7	237/9/0	1354/2/6	7/4/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			887/17/2		1176/7/11			339/15/4		39/0/0	305/19/6	5582/8/2				341/8/0		1883/18/9			374/3/8		533/11/0		633/10/4	7/14/9	76/17/7	237/9/0	1354/2/6	7/4/0													
20	mas 17	mas 18	10 to 14		"1,175"	208.572569444444	646.213541666667	250.125	0	69.9506944444444			2880	2880	2880	2880	2880	2880	2880	2880		139.550694444444	67.9263888888889	1.09548611111111	0	646.213541666667	69.9506944444444	250.125	0	0		0/0/0	1647/17/3	0/0/0	264/17/0	0/0/0	0/0/0	118/10/0	0/0/0	12/4/11	784/1/0	5692/6/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	3001/10/0	0/0/0	0/0/0	26/14/11	0/0/0	0/0/0	0/0/0	425/16/3	5/19/1	0/18/0	0/0/0	2062/4/9	55/7/2	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1647/17/3		264/17/0			118/10/0		12/4/11	784/1/0	5692/6/6						3001/10/0			26/14/11				425/16/3	5/19/1	0/18/0		2062/4/9	55/7/2													
21	mas 18	mas 19	10 to 14		740	127.165625	385.472916666667	41.925	0	185.06875			2880	2880	2880	2880	2880	2880	2880	2880		1.08645833333333	125.291666666667	0.7875	0	385.472916666667	185.06875	41.925	0	0		0/0/0	12/0/0	0/0/0	536/4/0	0/0/0	0/0/0	704/5/9	46/4/0	9/9/0	1862/2/9	3108/11/4	96/0/0	0/0/0	0/0/0	252/18/0	0/0/0	503/2/0	0/0/0	0/0/0	1/0/9	0/0/0	26/6/6	0/0/0	190/9/9	0/0/0	0/0/0	9/15/9	1517/2/2	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			12/0/0		536/4/0			704/5/9	46/4/0	9/9/0	1862/2/9	3108/11/4	96/0/0			252/18/0		503/2/0			1/0/9		26/6/6		190/9/9			9/15/9	1517/2/2														
22	mas 19	mas 20	10 to 14		343	138.089583333333	204.663194444444	0	0	0			2880	2880	2880	2880	2880	2880	2880	2880		7.29375	130.545833333333	0.25	0	204.663194444444	0	0	0	0		0/0/0	0/0/0	0/0/0	756/0/9	0/0/0	0/0/0	485/10/3	0/0/0	3/0/0	0/0/0	1648/1/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	87/10/6	0/0/0	165/1/11	0/0/0	159/18/1	0/0/0	0/0/0	0/0/0	807/17/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					756/0/9			485/10/3		3/0/0		1648/1/7									87/10/6		165/1/11		159/18/1				807/17/7														
23	mas 20	mas 21	10 to 14		"1,798"	644.744444444444	1081.93298611111	0	0	71.3503472222222			2880	2880	2880	2880	2880	2880	2880	2880		0.515625	636.878819444444	7.35	0	1081.93298611111	71.3503472222222	0	0	0		0/0/0	0/0/0	0/0/0	5214/0/10	0/0/0	0/0/0	380/14/0	13/7/0	88/4/0	485/0/6	9201/9/7	335/17/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	6/3/9	0/0/0	1203/14/3	0/0/0	824/1/4	6/13/6	0/0/0	0/0/0	3781/14/4	35/6/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					5214/0/10			380/14/0	13/7/0	88/4/0	485/0/6	9201/9/7	335/17/0								6/3/9		1203/14/3		824/1/4	6/13/6			3781/14/4	35/6/7													
24	mas 21	mas 22	10 to 14		"1,130"	627.282638888889	462.180902777778	0	0	40.9371527777778			2880	2880	2880	2880	2880	2880	2880	2880		29.0072916666667	598.062847222222	0.2125	0	462.180902777778	40.9371527777778	0	0	0		0/0/0	132/0/0	0/0/0	5064/14/6	0/0/0	0/0/0	1380/18/7	0/0/0	2/11/0	35/10/8	2695/10/10	0/0/0	363/9/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	216/1/9	0/0/0	659/17/7	0/0/0	71/4/5	0/0/0	0/0/0	0/0/0	2850/12/7	92/5/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			132/0/0		5064/14/6			1380/18/7		2/11/0	35/10/8	2695/10/10		363/9/0							216/1/9		659/17/7		71/4/5				2850/12/7	92/5/3													
25	mas 22	mas 23	10 to 14		"2,274"	964.453125	904.092361111111	0	0	405.054166666667			2880	2880	2880	2880	2880	2880	2880	2880		37.4375	927.015625	0	0	904.092361111111	405.054166666667	0	0	0		0/0/0	431/5/0	0/0/0	6931/14/0	0/0/0	0/0/0	3051/12/0	0/0/0	0/0/0	191/3/0	4560/12/0	4080/0/0	589/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	18/0/0	0/0/0	911/15/6	0/0/0	229/2/3	0/0/0	0/0/0	0/0/0	6288/10/2	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			431/5/0		6931/14/0			3051/12/0			191/3/0	4560/12/0	4080/0/0	589/10/0							18/0/0		911/15/6		229/2/3				6288/10/2														
26	mas 23	mas 24	10 to 14		"3,347"	1377.88611111111	1129.81215277778	147	0	692.777083333333			2880	2880	2880	2880	2880	2880	2880	2880		87.55	1290.33611111111	0	0	1129.81215277778	692.777083333333	147	0	0		0/0/0	750/12/0	0/0/0	8348/5/0	0/0/0	0/0/0	3675/11/6	312/0/0	0/0/0	400/3/0	9082/16/1	1260/0/0	1500/0/0	1068/0/0	0/0/0	3600/0/0	288/0/0	0/0/0	0/0/0	300/0/0	0/0/0	2114/10/9	0/0/0	1033/13/5	0/0/0	0/0/0	83/3/6	4474/18/10	402/0/0	0/0/0	0/0/0	0/0/0	1476/0/0	0/0/0	0/0/0			750/12/0		8348/5/0			3675/11/6	312/0/0		400/3/0	9082/16/1	1260/0/0	1500/0/0	1068/0/0		3600/0/0	288/0/0			300/0/0		2114/10/9		1033/13/5			83/3/6	4474/18/10	402/0/0				1476/0/0									
27	mas 24	mas 25	10 to 14		"3,221"	1673.89166666667	1181.040625	150	0	215.879861111111			2880	2880	2880	2880	2880	2880	2880	2880		20.25	1653.64166666667	0	0	1181.040625	215.879861111111	150	0	0		0/0/0	78/0/0	0/0/0	12568/1/11	0/0/0	0/0/0	1203/0/0	2412/0/0	0/0/0	432/0/0	7632/13/6	516/0/0	1224/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	165/0/0	0/0/0	2714/5/2	0/0/0	0/0/0	946/6/11	0/0/0	186/0/0	6539/16/3	232/11/2	0/0/0	0/0/0	0/0/0	1800/0/0	0/0/0	0/0/0			78/0/0		12568/1/11			1203/0/0	2412/0/0		432/0/0	7632/13/6	516/0/0	1224/0/0							165/0/0		2714/5/2			946/6/11		186/0/0	6539/16/3	232/11/2				1800/0/0									
28AB	mas 25	mas 26	10 to 14		"3,588"	1551.33888888889	1304.94895833333	567.528125	0	164.253125			2880	2880	2880	2880	2880	2880	2880	2880		169.814930555556	1381.52395833333	0	0	1304.94895833333	164.253125	567.528125	0	0		0/0/0	1932/0/0	0/0/0	10657/3/4	0/0/0	0/0/0	1535/2/5	3366/0/0	0/0/0	17/8/09	9714/10/3	1798/4/0	6/0/0	0/0/0	0/0/0	0/0/0	3366/0/0	0/0/0	0/0/0	105/15/7	0/0/0	1020/0/0	0/0/0	0/0/0	0/0/0	0/0/0	149/8/0	5944/17/6	0/0/0	0/0/0	0/0/0	0/0/0	3444/6/9	0/0/0	0/0/0			1932/0/0		10657/3/4			1535/2/5	3366/0/0		17/8/09	9714/10/3	1798/4/0	6/0/0				3366/0/0			105/15/7		1020/0/0					149/8/0	5944/17/6					3444/6/9									
