C1—30 / Online collections of archival material.
ID	NO	ALT ID	AUTHORS	EDITORS	TRANSLATORS	V	CURRENT	FIRST	CITY	COUNTRY	TITLE	NOTE	LINK	
		Jones 1	G. D. Jones				1989	1989	Albuquerque	USA	Maya Resistance to Spanish Rule		file:///Users/angelnavidad/Downloads/Grant%20D.%20Jones%20-%20Maya%20resistance%20to%20Spanish%20rule_%20Time%20and%20history%20on%20a%20colonial%20frontier-University%20of%20New%20Mexico%20Press%20(1989).pdf	
		Kupperman	K. O. Kupperman				1993	1993	Cambridge	UK	"Providence Island, 1630-1641: the other Puritan colony"		https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.00270	
		Ribot	M. T. Ribot				1996	1993	Mexico City	Mexico	Belice: una historia olvidada		https://books.openedition.org/cemca/319	
		Jones 2	G. D. Jones				1998	1998	Stanford	USA	Conquest of the Last Maya Kingdom		https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515	
		Lane	K. E. Lane				2016	1998	New York	USA	Pillaging the Empire		file:///Users/angelnavidad/Downloads/9781315722269.pdf	
		Marley	D. F. Marley				2008	1998	Santa Barbara	USA	Wars of the Americas		"file:///Users/angelnavidad/Downloads/Wars%20of%20the%20Americas%20A%20Chronology%20of%20Armed%20Conflict%20in%20the%20Western%20Hemisphere,%201492%20to%20the%20Present%20by%20David%20Marley%20(z-lib.org).pdf"	
		Adams		"R. E. W. Adams, M. J. MacLeod"		2	2008	2000	Cambridge	UK	The Cambridge History of the Native Peoples of the Americas		https://doi-org.ezp-prod1.hul.harvard.edu/10.1017/CHOL9780521652049	
		Diaz	B. Díaz del Castillo	D. Carrasco			2008	2008	Albuquerque	USA	The History of the Conquest of New Spain		file:///Users/angelnavidad/Downloads/David%20Carrasco%20-%20The%20History%20of%20the%20Conquest%20of%20New%20Spain%20by%20Bernal%20Diaz%20del%20Castillo-University%20of%20New%20Mexico%20Press%20(2009).pdf	
		Bechtold		"T. Bechtold, R. Mussak"			2009	2009	Chippenham	UK	Handbook of Natural Colorants		"file:///Users/angelnavidad/Downloads/(Wiley%20series%20in%20renewable%20resources)%20Thomas%20Bechtold,%20Rita%20Mussak%20-%20Handbook%20of%20natural%20colorants-Wiley%20(2009).pdf"	
		Latimer	J. Latimer				2009	2009	Cambridge	USA	Buccaneers of the Caribbean		https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172	
		Jarvis	M. J. Jarvis				2012	2010	Williamsburg	USA	"In the Eye of All Trade Bermuda, Bermudians, and the Maritime Atlantic World, 1680-1783"		https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/41104	
		Wombwell	J. A. Wombwell				2010	2010	Fort Leavenworth	USA	Long War Against Piracy		https://www.hsdl.org/?view&did=23760	
		Graham	E. Graham				2011	2011	Gainesville	USA	Maya Christians and Their Churches in Sixteenth-Century Belize		https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957	
		Alves		"A. Alves Carrara, E. Sánchez Santiró"			2012	2012	Mexico City	Mexico	Guerra y fiscalidad en la Iberoamérica colonial		file:///Users/angelnavidad/Downloads/Entre_la_paz_y_la_guerra_el_gasto_milita.pdf	
		Hanna	M. G. Hanna				2015	2015	Chapel Hill	USA	"Pirate Nests and the Rise of the British Empire, 1570-1740"		https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/44065/	
		UK BE	xxx	"R. Thomas, N. Dimsdale"			2020	2016	London	UK	A millennium of UK data		https://www.bankofengland.co.uk/statistics/research-datasets	
		Cardona	J. M. Cardona Amaya				2020	2020	Tegucigalpa	Honduras	Invasiones de corsarios a la Honduras de Felipe IV (1633-1643) 		https://halshs.archives-ouvertes.fr/halshs-02540842/document	
