C1—30 / Online collections of archival material.
ID	NO	ALT ID	AUTHORS	EDITORS	TRANSLATORS	V	CURRENT	FIRST	CITY	COUNTRY	TITLE	NOTE	LINK	
		Clayton	J. M. Clayton				1853	1853	Washington	USA	"Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853"		"Clayton, John Middleton. Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853 : in vindication of the Central American treaty concluded with Great Britain on the 19th of April, 1850. Printed by Kirkwood & McGill, 1853. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0104293458/SABN?u=camb55135&sid=SABN&xid=1d289d88&pg=14. Accessed 17 Feb. 2021."	
		Fancourt	C. S. J. Fancourt				1854	1854	London	UK	"The history of Yucatan, from its discovery to the close of the seventeenth century"		"Fancourt, Charles Saint John. The history of Yucatan, from its discovery to the close of the seventeenth century. J. Murray, 1854. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100004060/SABN?u=camb55135&sid=SABN&xid=783b6f0e&pg=1. Accessed 20 Feb. 2021."	
		Squier 1	"E. G. Squier, S. A. Bard"				1855	1855	London	UK	"Waikna, or, Adventures on the Mosquito shore"		"Squier, Ephraim George, and Samuel A. Bard. Waikna, or, Adventures on the Mosquito shore. Sampson Low, son, & co., 1855. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103178029/SABN?u=camb55135&sid=SABN&xid=f8bae517&pg=93. Accessed 17 Feb. 2021."	
		US State	sn				1856	1856	Washington	USA	Documents relative to Central American affairs and the enlistment question		"United States. Dept. of State., et al. Documents relative to Central American affairs and the enlistment question. C. Wendell, Printer, 1856. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102905680/SABN?u=camb55135&sid=SABN&xid=e04c57fa&pg=1. Accessed 17 Feb. 2021."	
		Squier 2	E. G. Squier				1858	1858	New York	USA	The states of Central America 		"Squier, Ephraim George. The states of Central America : their geography, topography, climate, population, resources, productions, commerce, political organization, aborigines, etc. etc. : comprising chapters on Honduras, San Salvador, Nicaragua, Costa Rica, Guatemala, Belize, the Bay Islands, the Mosquito Shore, and the Honduras Inter-oceanic Railway. Harper & Bros, 1858. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2g3. Accessed 17 Feb. 2021."	
		Harris	J. D. Harris				1860	1860	New York	USA	A summer on the borders of the Caribbean Sea		"Harris, J. Dennis. A summer on the borders of the Caribbean Sea. A.B. Burdick, 1860. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100216178/SABN?u=camb55135&sid=SABN&xid=de785820&pg=137. Accessed 17 Feb. 2021."	
		Fernandez	C. Fernández Duro			2	1877	1877	Madrid	Spain	"La mar descrita por los mareados, Más disquisiciones, vol 2"		https://www.google.com/books/edition/La_mar_descrita_por_los_mareados/4iv4_CqVEM8C?hl=en&gbpv=1&pg=PA301&printsec=frontcover	
		Alsedo	D. de Alsedo y Herrera				1883	1883	Madrid	Spain	Piraterías y agresiones de los ingleses y de otros pueblos de Europa en la América española desde el siglo XVI al XVIII		http://www.cervantesvirtual.com/obra/piraterias-y-agresiones-de-los-ingleses--y-de-otros-pueblos-de-europa-en-la-america-espanola-desde-el-siglo-xvi-al-xviii--deducidas-de-las-obras-de-dionisio-de-alsedo-y-herrera--publicalas-justo-zaragoza/	
		Kemble 2	S. Kemble	New York Historical Society		2	1884	1884	New York	USA	Kemble Papers	Transcribes part of Kemble Papers of New York Historical Society	file:///Users/angelnavidad/Downloads/Journals_of_Kemble_brigadier_general_in.pdf	
		Chalmers	R. Chalmers				1893	1893	London	UK	A History of Currency in the British Colonies		https://link.gale.com/apps/doc/U0112205310/MOME?u=camb55135&sid=MOME&xid=212bf46b&pg=1	
