Table 1
Series T 0—300 / Trade.																																																									
ID	NO	YR	LOG T ENG F ALL	Q	CF	LOG T JAM F ALL	Q	CF	LOG T BOS F ALL	Q	CF	LOG T NYC F ALL	Q	CF	ALL T ENG F SWI	LOG T ENG F SWI	MAH T ENG F SWI	CF	ALL T ENG F HON	LOG T ENG F HON	MAH T ENG F HON	CF	ALL T ENG F MOS	LOG T ENG F MOS	MAH T ENG F MOS	CF	ALL T SCOT F HON	LOG T SCOT F HON	MAH T SCOT F HON	CF	ALL T GB F FWI	LOG T GB F FWI	MAH T GB F FWI	CF	ALL T GB F BWI	LOG T GB F BWI	MAH T GB F BWI	CF	ALL T GB F HON	LOG T GB F HON	MAH T GB F HON	CF	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	
T 83	83	1753	"3,912.26"	4.0	CUST 3/53	300.0	3.0	CO 142/15	335.0	4.0	CO 5/849																																														
T 84	84	1754	"3,213.91"	4.0	CUST 3/54				538.0	4.0	CO 5/849																																														
T 85	85	1755	"2,545.10"	4.0	CUST 3/55				51.5	4.0	CO 5/849																																														
T 86	86	1756	"4,802.85"	4.0	CUST 3/56				650.0	3.5	CO 5/849																																														
T 87	87	1757	"4,158.47"	4.0	CUST 3/57																																																				
T 88	88	1758	"3,937.04"	4.0	CUST 3/58																																																				
T 89	89	1759	"4,851.48"	4.0	CUST 3/59																																																				
T 90	90	1760	"1,852.77"	4.0	CUST 3/60																																																				
T 91	91	1761	878.14	4.0	CUST 3/61																																																				
T 92	92	1762	"1,983.67"	4.0	CUST 3/62				0.0	3.5	CO 5/850																																														
T 93	93	1763	"3,567.21"	4.0	CUST 3/63				0.0	4.0	CO 5/850																																														
T 94	94	1764	"4,502.72"	4.0	CUST 3/64				0.0	2.5	CO 5/850				£	£	" £	-  "	CUST 3/64																																							
T 95	95	1765	"6,058.00"	4.0	CUST 3/65										£	£	" £	123.00 "	CUST 3/65																																							
T 96	96	1766	"10,538.81"	4.0	CUST 3/66														" £	11,601.13 "	" £	8,098.84 "	" £	2,091.20 "	CUST 3/66																																			
T 97	97	1767	"9,098.50"	4.0	CUST 3/67										£	£	" £	7.00 "	CUST 3/67	" £	394.68 "	" £	387.30 "	" £	7.38 "	CUST 3/67																																			
T 98	98	1768	"9,597.59"	4.0	CUST 3/68										£	£	" £	-  "	CUST 3/68	" £	4,000.06 "	" £	3,336.00 "	" £	664.06 "	CUST 3/68																																			
T 99	99	1769	"10,367.78"	4.0	CUST 3/69														" £	7,456.50 "	" £	7,239.98 "	" £	211.85 "	CUST 3/69	" £	74,037.63 "	" £	59,532.00 "	" £	6,275.00 "	CUST 3/69																															
T 100	100	1770	"10,590.17"	4.0	CUST 3/70										£	£	" £	0.90 "	CUST 3/70	" £	6,249.83 "	" £	6,082.50 "	" £	167.33 "	CUST 3/70	" £	1,597.60 "	" £	394.23 "	" £	1,200.00 "	CUST 3/70																															
T 101	101	1771	"3,466.16"	4.0	CUST 3/71														" £	34,087.48 "	" £	14,232.98 "	" £	18,717.00 "	CUST 3/71	" £	5,275.56 "	" £	2,688.00 "	" £	1,858.00 "	CUST 3/71	" £	5,119.15 "	" £	182.00 "	" £	4,936.25 "	CUST 14/1B																											
T 102	102	1772	"6,663.19"	4.0	CUST 3/72														" £	51,079.69 "	" £	37,052.93 "	" £	13,820.92 "	CUST 3/72	" £	15,580.15 "	" £	2,088.00 "	" £	11,641.00 "	CUST 3/72	" £	31,542.50 "	" £	-  "	" £	31,542.50 "	CUST 14/1B	" £	147,024.37 "	" £	40,568.93 "	" £	25,469.92 "	CUST 17/1																							
T 103	103	1773	"2,180.99"	4.0	CUST 3/73														" £	21,377.69 "	" £	8,727.28 "	" £	9,852.00 "	CUST 3/73	" £	14,563.59 "	" £	1,620.00 "	" £	7,361.00 "	CUST 3/73	" £	5,415.50 "	" £	273.00 "	" £	5,142.50 "	CUST 14/1B	" £	70,203.52 "	" £	10,347.28 "	" £	17,213.00 "	CUST 17/2																							
T 104	104	1774	"1,978.06"	4.0	CUST 3/74														" £	25,253.98 "	" £	9,091.65 "	" £	14,906.64 "	CUST 3/74	" £	8,694.48 "	" £	888.00 "	" £	3,754.00 "	CUST 3/74	" £	29,444.28 "	" £	301.00 "	" £	29,129.38 "	CUST 14/1B					" £	507,140.23 "	" £	9,979.65 "	" £	18,660.64 "	CUST 17/3																			
T 105	105	1775	"2,754.33"	4.0	CUST 3/75														" £	43,180.32 "	" £	17,997.64 "	" £	23,944.65 "	CUST 3/75	" £	7,849.93 "	" £	360.00 "	" £	3,520.00 "	CUST 3/75	" £	0.16 "	" £	-  "	" £	-  "	CUST 14/2					" £	509,546.77 "	" £	18,581.45 "	" £	27,480.65 "	CUST 17/4																			
T 106	106	1776	"1,548.36"	4.0	CUST 3/76														" £	30,007.45 "	" £	9,280.39 "	" £	20,441.50 "	CUST 3/76	" £	2,468.80 "	" £	-  "	" £	-  "	CUST 3/76	" £	9,851.80 "	" £	245.00 "	" £	9,605.75 "	CUST 14/2					" £	470,586.97 "	" £	9,364.39 "	" £	20,441.50 "	CUST 17/4																			
T 107	107	1777	"1,892.97"	4.0	CUST 3/77														" £	27,744.38 "	" £	7,510.28 "	" £	19,512.00 "	CUST 3/77	" £	5,282.30 "	" £	-  "	" £	2,700.00 "	CUST 3/77									" £	352,319.53 "	" £	7,821.46 "	" £	22,221.00 "	CUST 17/5																			
T 108	108	1778	"2,264.25"	4.0	CUST 3/78														" £	44,003.70 "	" £	10,266.19 "	" £	32,220.00 "	CUST 3/78	" £	6,620.98 "	" £	480.00 "	" £	4,050.00 "	CUST 3/78									" £	461,535.17 "	" £	10,746.19 "	" £	36,270.00 "	CUST 17/5																			
