Table 1
	S$ to Lsd	G$ to Lsd	Population	Imports All	Exports All	Exports to UK	Imports from UK	Spending	Loan spending	Debt outstanding	Spending £	Imports £	Exports £	CPI £	Spending 2020	Imports 2020	Exports 2020
1964				B33900819				B12676880			3169220	8475205		56	62972061	168401407	
1965				B34987986				B13507637			3376909	8746997		58	64111547	166064125	
1966				B38761885	B19192693			B15661783			3915446	9690471	4798173	61	71519132	177005158	87642942
1967				B36951914	B17462062			B15480044			3870011	9237979	4365516	62	68873772	164406361	77692161
1968														65			
1969														69			
1970														73			
1971														80			
1972														86			
1973														94			
1974														109			
1975														135			
1976														157			
1977														182			
1978														197			
1979														224			
1980														264			
1981														295			
1982														320			
1983														335			
1984														352			
1985														373			
1986														386			
1987														402			
1988														422			
1989														455			
1990														498			
1991														527			
1992														546			
1993														555			
1994														569			
1995														588			
1996														602			
1997														621			
1998														643			
1999														653			
2000														672			
2001														684			
2002														695			
2003														715			
2004														737			
2005														757			
2006														782			
2007														815			
2008														848			
2009														843			
2010														882			
2011														928			
2012														958			
2013														987			
2014														1010			
2015														1020			
2016														1030			
2017														1057			
2018														1080			
2019														1100			
2020														1109			
