Table 1
		fm All	to All	to All Re	fm GB	to GB	Rev	Exp	Exp Ln	Debt				f All	t All	t All Re	f GB	t GB
Auth Yr	Yr	L	L	L	L	L	L	L	L	L	Notes	FX	FX £	$	$	$	$	
	1915	441730	459601				106245	110501	325	194736		0.4.1(1/3)	0.218472222222222	2021904.64081373	2103704.51366815			
	1916	531074	527384				131572	126089	79	179820		0.4.1(1/3)	0.218472222222222	2430853.65543548	2413963.63636364			
	1917	574276	576165				139002	138810	105	179820		0.4.1(1/3)	0.218472222222222	2628599.61856326	2637246.02670057			
	1918	732891	754113				148253	137874	547	179820		0.4.1(1/3)	0.218472222222222	3354618.69040051	3451756.89764781			
	1919	965128	914477				219045	201818	220	179820		0.4.1(1/3)	0.218472222222222	4417623.39478704	4185781.56389066			
	1920	1207991	1037166				232264	190923	8642	179820		0.4.1(1/3)	0.218472222222222	5529265.86141132	4747358.67768596			
	1921	687199	626011				227181	289994	28898	136763		0.4.1(1/3)	0.218472222222222	3145475.39732995	2865403.17863955			
	1922	676360	579173				233825	225888	43107	220595		0.4.1(1/3)	0.218472222222222	3095862.68277178	2651014.36745073			
	1923	829764	657137				224703	247329	57330	232708		0.4.1(1/3)	0.218472222222222	3798029.75206612	3007874.38016529			
																		
Cmd. 3434	1922	676360	300304	276813			233825	225888	43107	173270	"Exports at FOB rates, exclusive of export duty"	0.4.1(1/3)	0.218472222222222	3095862.68277178	1374563.76350922	1267039.79656707		
	1923	829764	271961	383859			224703	247329	57330	153290	"Imports at net value, exclusive of outside packages, insurance, freight and duty."	0.4.1(1/3)	0.218472222222222	3798029.75206612	1244831.02352193	1757015.13032422		
	1924	800491	335928	347703			193010	189316	27839	153290	"Rev, Exp & Debt given for 12 m ended 31 Mar of yr following given yr"	0.4.1(1/3)	0.218472222222222	3664040.17800382	1537623.39478703	1591520.40686586		
	1925	928108	331579	403443			204792	199481	7760	153290	to All Re = re-exports	0.4.1(1/3)	0.218472222222222	4248173.93515576	1517716.97393516	1846655.81691036		
	1926	1041275	392794	414257			229489	213879	14623	153290		0.4.1(1/3)	0.218472222222222	4766166.56071202	1797912.77813096	1896154.10044501		
	1927	924446	537299	397471			219577	228595	14272	153290		0.4.1(1/3)	0.218472222222222	4231412.07883026	2459346.98029244	1819320.53401144		
																		
Cmd. 5298	1926	1041000	393000	414000			229000	214000	15000	153000	"Exports at FOB rates, exclusive of export duty"	0.4.1(1/3)	0.218472222222222	4764907.81945328	1798855.68976478	1894977.74952321		
	1927	924000	537000	397000			220000	204000	14000	153000	"Imports at net value, exclusive of outside packages, insurance, freight and duty."	0.4.1(1/3)	0.218472222222222	4229370.62937063	2457978.38525112	1817164.65352829		
	1928	916000	383000	448000			214000	215000	7000	363000	"Rev, Exp, Exp Ln < 1934 given for 12 m ended 31 Mar of yr following given yr"	0.4.1(1/3)	0.218472222222222	4192752.70184362	1753083.28035601	2050603.94151303		
	1929	1039000	396000	603000			213000	210000	1000	384000	"1934 Rev, Exp, Exp Ln, Debt given for 9 months ended 31 Dec of the given yr"	0.4.1(1/3)	0.218472222222222	4755753.33757152	1812587.41258741	2760076.28734902		
	1930	1012000	288000	643000			239000	223000	1000	384000		0.4.1(1/3)	0.218472222222222	4632167.83216784	1318245.39097267	2943165.92498411		
	1931	964000	131000	501000			180000	213000	2000	384000		0.4.1(1/3)	0.218472222222222	4412460.26700573	599618.563254928	2293197.71137953		
	1932	647000	84000	307000			184000	193000	124000	534000		0.4.1(1/3)	0.218472222222222	2961474.88874762	384488.239033694	1405212.96884933		
	1933	393000	101000	137000			217000	197000	93000	555000		0.4.1(1/3)	0.218472222222222	1798855.68976478	462301.335028608	627082.008900191		
