Table 1
No	Start	End	Value	Jam	Car	NE NY	Vi Mary	US Other	Car	NE NY	Vi Mary	Jam	Other	£	t	Bar	Car	FL	Canada	Jam	NE	GA	Prov	NY	PA	Vi & Mar	WI / Hav	WI	WI	Span WI / Mosq	WI	WI	Mosq	Prize	Bar	Car	FL	Jam	NE	Prov /GA	NY	PA	Vi & Mar	WI	Span WI / Mosq	WI	WI	WI	Mosq	Prize							
61	mas 60	mas 61	10 to 14	12	12	12	12	491828	90487	167523	2880	1963429	0	"11,317"	"226,346"		45/12/0		34/4/0	6590/0/1	264/0/0			115/8/3	836/5/7	12/0/0								252/0/0		331/8/7		1590/19/0	114/12/0		204/0/0	125/19/3								21/4/0							
62	mas 61	mas 62	10 to 14	12	12	12	12	1611501	71061	1121400	0	4000662	0	"28,353"	"567,052"		156/0/0			13938/17/0	1164/0/0			2133/15/9	1746/0/0											140/1/9		2730/11/6	120/0/0		1254/14/3					168/0/0	252/0/0										
63	mas 62	mas 63	10 to 14	12	12	12	12	2516271	85137	1863774	72000	4778150	2850987	"50,693"	"776,278"	6/0/0	294/0/0		36/0/0	16317/15/0	384/0/0		720/0/0	6684/0/0	1344/0/0	300/0/0	9948/0/0	60/0/0						432/0/0		60/14/9		3591/4/2	235/16/0		461/18/6			1931/2/3													
64	mas 63	mas 64	10 to 14	12	12	12	12	6974898	67680	4475058	172800	4588552	1294956	"73,225"	"1,356,582"		282/0/0			12534/6/0	3672/0/0		240/0/0	8549/8/0	6000/0/0		1681/13/0			3714/0/0	18/0/0							6584/13/4	122/14/5	172/14/0	6301/19/1	3439/6/0	720/0/0														
65	mas 64	mas 65	10 to 14	12	12	12	12	7273537	968112	5456453	0	7630375	2462400	"99,129"	"1,777,373"	120/0/0	3738/0/0	684/0/0		24633/0/0	3603/0/0			13371/14/5	2220/0/0		2040/0/0	168/0/0		7092/0/0					48/7/0	295/16/0		7160/4/7	3185/8/0		2575/2/0	633/7/8			1128/0/0												
66	mas 65	mas 66	10 to 14	12	12	12	12	12197809	1216528	7088000	29304	15446997	2289322	"159,450"	"2,998,220"	2068/4/0	4038/0/0			49420/13/9	4569/9/2	1080/0/0	240/0/0	15549/0/0	7642/4/0	84/0/0	1440/0/0	24/0/0	3408/0/0	4488/0/0	240/0/0					1030/17/4	1560/0/0	14941/16/0	3696/18/1	1097/14/1	5717/19/5	480/0/0	38/2/0		3610/16/10												
67	mas 66	mas 67	10 to 14	12	12	12	12	9098797	1262741	4655886	345600	13092881	3415843	"132,799"	"2,371,325"	240/0/0	4248/0/0	5326/12/0		37377/17/6	1368/0/0	720/0/0	240/0/0	11511/0/0	3012/0/0	1440/0/0		1524/0/0	714/0/0	13838/15/7						1013/8/5	2286/0/0	17175/15/11	5079/9/6		1441/1/0	226/2/2		6/12/0	387/6/0	6/0/0											
68	mas 67	mas 68	10 to 14	12	12	12	12	12826059	2152341	5545598	16992	8683113	6856760	"150,337"	"2,435,342"		7333/16/6	6639/0/0		26572/9/1	1224/0/0		1500/0/0	12813/0/0	4761/0/0			5/0/0	474/19/6	24937/4/0	1332/0/0	2148/0/0				1634/5/3		9607/3/8	1542/18/0		7526/15/2	1133/7/4	70/16/0	296/12/8	3336/0/0	246/11/0	36/4/6										
69	mas 68	mas 69	10 to 14													156/0/0	2178/0/0			23393/16/6	2680/16/1	300/0/0	593/8/11	7260/0/0	2712/0/0			1200/0/0	528/0/0	59532/0/0								5212/16/0	1144/16/0		3122/15/10	2445/16/2	180/0/0	255/14/3	7239/19/6	4277/8/3											
70	mas 69	mas 70	10 to 14														678/10/6	960/0/0		14506/18/3	6608/15/2		63/2/4	10656/18/0	2632/13/9			264/0/0	240/0/0	67320/0/0						1834/5/7		8587/17/10	1266/1/3		3250/2/11	1644/17/3	91/4/0		6082/10/0				394/4/6								
71	mas 70	mas 71	10 to 14													180/0/0	2032/2/6	1597/10/7		6666/0/0	1174/10/0	17/7/4			528/0/0	144/0/0				12735/14/5			2688/0/0		587/17/0	1175/4/0		5856/8/9	513/0/10	405/17/3	2977/9/1	50/0/8	120/0/0	59/14/5	1497/5/1	587/17/0											
72	mas 71	mas 72	10 to 14													240/0/0	1608/0/0	1428/0/0		9818/2/10	1586/8/0	18/0/0	617/7/7	11140/18/0	1104/0/0		48/0/0	360/0/0		29988/0/0			2088/0/0			226/6/4		8961/18/10			2011/18/6	1648/6/7			7064/18/8												
73	mas 72	mas 73	10 to 14														432/0/0	156/0/0		5662/18/3	145/4/0		360/0/0	1464/0/0	432/0/0	1/16/0		96/0/0		5469/12/0			1620/0/0			727/9/3		3595/1/5	56/1/5		905/9/7	1145/17/6		163/7/3	3257/13/6	481/7/6											
74	mas 73	mas 74	10 to 14														996/0/0	840/0/0		6264/0/0		84/0/0		300/0/0	684/0/0					6744/0/0			888/0/0			166/10/6		3695/15/3		147/12/0	212/16/0	342/8/0	24/0/0		2347/13/0												
75	mas 74	mas 75	10 to 14														582/0/0			6106/0/1		360/0/0		1812/0/0	324/0/0		48/0/0	348/0/0	144/0/0	14484/0/0			360/0/0			358/15/9		2494/19/2			1529/7/10	351/6/6		223/16/3	3513/12/9	12/0/0											
76	mas 75	mas 76	10 to 14																	5553/0/0							84/0/0	120/0/0	57/17/1	6060/0/0	48/0/0	84/0/0			241/11/6			2683/7/5		105/2/0	81/8/1			241/11/6	3220/7/9												
77	mas 76	mas 77	10 to 14																	5574/0/0			122/13/3	4878/0/0			504/0/0	480/0/0	24/0/0	4260/0/0								3255/10/8						79/19/5	3250/5/6	287/3/8											
78	mas 77	mas 78	10 to 14															372/0/0		7944/0/0	120/0/0			1139/6/0						8652/0/0			480/0/0	162/7/6			142/0/1	6330/5/1						192/12/0	1614/3/10	22/4/9											
79	mas 78	mas 79	10 to 14															361/16/0		30330/0/0			300/0/0	312/0/0			696/0/0			1344/0/0				2100/16/0				14189/17/5			208/17/10			203/8/10	1576/4/0					1218/9/0							
80	mas 79	mas 80	9 to 15													24/0/0				31206/15/0		288/0/0		2236/4/0			72/0/0						540/0/0			99/3/5		16673/0/6			238/8/2									175/1/0							
