Table 1
	S$ to Lsd	G$ to Lsd	Population	Imports All	Exports All	Exports to UK	Imports from UK	Spending	Loan spending	Debt outstanding	Spending £	Imports £	Exports £	CPI £	Spending 2020	Imports 2020	Exports 2020	GDP USD	USD to £	GDP 2020	Spending pc	Imports pc	Exports pc	SPENDING	IMPORTS	EXPORTS
1915		0/4/1.33333333		441730	459601			110501	325	194736	110501	441730	459601	11	11137898	44523975	46325274							28571900	114216753	118837602
1916		0/4/1.33333333		531074	527384			126089	79	179820	126089	531074	527384	13	10753840	45294076	44979364							27586681	116192283	115384958
1917		0/4/1.33333333		574276	576165			138810	105	179820	138810	574276	576165	16	9441975	39062747	39191238							24221372	100207139	100536756
1918		0/4/1.33333333		732891	754113			137874	547	179820	137874	732891	754113	20	7681730	40833446	42015842							19705838	104749488	107782673
1919		0/4/1.33333333		965128	914477			201818	220	179820	201818	965128	914477	22	10217520	48861919	46297590							26210867	125344822	118766586
1920		0/4/1.33333333		1207991	1037166			190923	8642	179820	190923	1207991	1037166	25	8366955	52938654	45452468							21463638	135802816	116598604
1921		0/4/1.33333333	45317	687199	626011			289994	28898	136763	289994	687199	626011	23	13918959	32983767	30046902							35706118	84612814	77078913
1922		0/4/1.33333333		676360	581229			225888	43107	220595	225888	676360	581229	20	12585480	37683788	32383510							32285364	96669715	83072981
1923		0/4/1.33333333		829764	658454			247329	57330	232708	247329	829764	658454	19	14664361	49197462	39040336							37618289	126205587	100149649
1924		0/4/1.33333333		800491	686092			189000	28000	153000	189000	800491	686092	19	11266229	47717010	40897723							28901106	122407804	104914378
1925		0/4/1.33333333		928108	735070			189000	8000	153000	189000	928108	735070	19	11266229	55324218	43817286							28901106	141922473	112403893
1926		0/4/1.33333333		1041275	807586			214000	15000	153000	214000	1041275	807586	19	12825425	62405581	48400157							32900890	160088196	124160271
1927		0/4/1.33333333		924446	934770			204000	14000	153000	204000	924446	934770	18	12565720	56942792	57578716							32234672	146074578	147705906
1928		0/4/1.33333333		916109	830753			215000	7000	363000	215000	916109	830753	18	13243283	56429261	51171616							33972817	144757223	131269857
1929		0/4/1.33333333		1039427	998540			210000	1000	384000	210000	1039427	998540	18	13080640	64744623	62197822							33555591	166088510	159555237
1930		0/4/1.33333333		1012000	932000			223000	1000	384000	223000	1012000	932000	17	14291851	64858086	59730964							36662693	166379574	153227039
1931		0/4/1.33333333	51347	964000	633000			213000	2000	384000	213000	964000	633000	17	14226604	64387070	42279061							36495315	165171284	108457907
1932		0/4/1.33333333		647000	404000			193000	124000	534000	193000	647000	404000	16	13209063	44281159	27650059							33885031	113593862	70930325
1933		0/4/1.33333333		393000	243000			197000	93000	555000	197000	393000	243000	16	13824163	27578153	17052141							35462940	70745865	43743627
1934				375000	298000			B1089081.92			224091	375000	298000	16	15725226	26315032	20911678							40339712	67505597	53644447
1935				547000	348000			B1341957.42			276123	547000	348000	16	19254625	38143445	24266762							49393630	97848867	62251199
1936				658000	485000			B1125030.10			231488	658000	485000	16	16041228	45596933	33608681							41150346	116969197	86215898
1937				801000	524000			B1177760.09			242337	801000	524000	17	16186099	53500045	34998781							41521982	137242944	89781901
1938				821000	668000			B1317326.50			271055	821000	668000	17	17888651	54183068	44085614							45889516	138995095	113092233
1939				795000	567000			B1500182.36			308679	795000	567000	17	19782966	50950769	36338473							50748976	130703321	93218595
