Table 1
	Treasury Hon								Market							
	Sp $	US $	Hon $	Hon £	£	d	Cf	N	Sp $	Jam £	Jd 78	Jd 93	£	Par	Cf	N
1736	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1737	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1738	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1739	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1740	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1741	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1742	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1743	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1744	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1745	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1746	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1747	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1748	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1749	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1750	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1751	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1752	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1753	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
