C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
		P	Kernkamp	xxx		1	"Bijdragen en mededelingen van het Historisch Genootschap, v 29, Zweedsche archivalia uitgegeven door G. W. Kernkamp"	Amsterdam	Netherlands	1908	1908	Goslinga		https://www.dbnl.org/tekst/_bij005190801_01/_bij005190801_01_0005.php	
		P	Laet a	xxx		1	"Nieuwe Wereldt ofte Beschrijvinghe van West-Indien, uit veelerhande Schriften ende Aen-teekeningen van verscheyden Natien"	Leiden	Netherlands	1625	1625			"https://link.gale.com/apps/doc/U0100111972/MOME?u=camb55135&sid=MOME&xid=0893590d
Latin translation: file:///Users/angelnavidad/Downloads/Novus_orbis,_seu_descriptio_In.pdf
Spanish translation: https://hdl.handle.net/2027/txu.059173017954270"	
		P	Naber/Wright	xxx		1	Piet Heyn en de Zilvervloot	Utrecht	Netherlands	1928	1928	Goslinga	Edited by S. P. l'Honoré Naber and Irene A. Wright		
		P	CDIE	xxx		113	Colección de documentos inéditos para la historia de España	Madrid	Spain	1842	1895		112 vols [1842–95] mentioned in some literature /eg Díaz-Trechuelo Spínola 1970 Link: http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/america-en-la-coleccion-de-documentos-ineditos/docview/1300364864/se-2?accountid=11311 	http://id.lib.harvard.edu/alma/990072058750203941/catalog	
		P	CDI	1251	1796	42	"Colección de documentos inéditos, relativos al descubrimiento, conquista y organización de las antiguas posesiones españolas de América y Oceanía, sacados de los archivos del reino, y muy especial del de las Indias"	Madrid	Spain	1864	1884			http://id.lib.harvard.edu/alma/99154275040603941/catalog	
		P	Spain CU	xxx		22	Cartografía y relaciones históricas de Ultramar	Madrid	Spain	1949	1999	Finamore 81	"By Sevicio Geográfico e Historico del Ejercito
Titles = Cartografía de Ultramar
See maps 1753, 1764, 1780 Link: http://www.stgeorgescayebelize.org/evolution-of-name.html "	xxx	
		P	Duro	xxx		9	Armada española desde la unión de los reinos de Castilla y de León	Madrid	Spain	1895	1903		Attributed to Cesáreo Fernández Duro		
		P	Herrera	1492	xxx	4	Historia general de los hechos de los castellanos en las islas i tierra firme del mar oceano 	Madrid	Spain	1601	1615		1730 edition in 8 vols at Gale/Sabin Americana	Gale/Sabin Americana v1: https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=SABN&xid=3acb195c	
		P	Oviedo	xxx		4	"Historia general y natural de las Indias, islas y tierra-firme del mar océano"	Madrid	Spain	1851	1855		"First vol published 1535 in Seville / intended as 3 vols
First full publication 1851–1855 in Madrid by RAH / in 4 vols"	"v 1: http://www.cervantesvirtual.com/nd/ark:/59851/bmc668b5
v 2: http://www.cervantesvirtual.com/nd/ark:/59851/bmc2f7m2
v 3: http://www.cervantesvirtual.com/nd/ark:/59851/bmcsb4c5
v 4: http://www.cervantesvirtual.com/nd/ark:/59851/bmcc53h5"	
		P	Lopez	xxx		2	Geografía y descripción universal de las Indias	Madrid	Spain	1894	1894			"Google v 1: https://www.google.com/books/edition/Geograf%C3%ADa_y_descripción_universal_de_l/inYoAQAAIAAJ?hl=en 
Google v 2: https://www.google.com/books/edition/Geograf%C3%ADa_y_descripción_universal_de_l/SzxCAAAAIAAJ?hl=en"	
		P	Veitia Linage	xxx		2	Norte de la contratacion de las Indias Occidentales	Seville	Spain	1672	1672	Lang	By Joseph de Veitia Linage	https://link.gale.com/apps/doc/U0100219950/MOME?u=camb55135&sid=MOME&xid=40f105e8	
		P	Roteta	1655	1694	1	Forma de asegurar los puertos y poblaciones de todas las costas de las Indias	Madrid	Spain	1694	1694			https://www.wdl.org/en/item/4393/	
		P	Cogolludo	1506	1656	1	Historia de Yucathan	Madrid	Spain	1688	1688			"Gallica: https://gallica.bnf.fr/ark:/12148/bpt6k829446
Gale/Sabin: https://link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=SABN&xid=fbdf1b13"	
		P	"Sanchez, Rel"	1641	1642	1	"Relacion del suceso que tuvo Francisco Diaz Pimienta, general de la real armada de las Indias, en la isla de Santa Catalina"	Madrid	Spain	1642	1642				
		P	Castillo	xxx		1	Historia verdadera de la conquista de la Nueva España	Madrid	Spain	1632	1632		"Abridged, translated version by D. Carrasco, The History of the Conquest of New Spain, Albuquerque 2008, Link: file:///Users/angelnavidad/Downloads/David%20Carrasco%20-%20The%20History%20of%20the%20Conquest%20of%20New%20Spain%20by%20Bernal%20Diaz%20del%20Castillo-University%20of%20New%20Mexico%20Press%20(2009).pdf"	http://bdh.bne.es/bnesearch/detalle/bdh0000012937 	
		P	Villagutierre Sotomayor	xxx		1	"Historia de la conquista de la provincia de El Itza, reduccion, y progressos de la de El Lacandon, y otras naciones de indios Barbaros, de la mediacion de el reyno de Guatimala, a las provincias de Yucatan, en la America septentrional"	Madrid	Spain	1701	1701				
		P	FSP	1373	1974	170	British and Foreign State Papers	London	UK	1841	1977	Burdon 1		http://id.lib.harvard.edu/alma/99154275019103941/catalog	
		P	CSPC	1574	1739	41	"Calendar of State Papers, Colonial, America and West Indies"	London	UK	1860	1994			https://www-british-history-ac-uk.ezp-prod1.hul.harvard.edu/search/series/cal-state-papers--colonial--america-west-indies	
		P	BTPJ	1704	1782	14	"Board of Trade and Plantations, Journal"	London	UK	1920	1938			https://www.british-history.ac.uk/search/series/jrnl-trade-plantations	
		P	APC Col	1613	1783	6	Act of the Privy Council of England : colonial series	London	UK	1908	1912	Burdon 1		http://id.lib.harvard.edu/alma/99154274911603941/catalog	
		P	Churchill	xxx		6	A collection of voyages and travels	London	UK	xxx	1732	Finamore 72	"Mosquito Shore voyage in 1699 in v 6, 282–298"	Gale v 6: https://link.gale.com/apps/doc/CY0105640354/SABN?u=camb55135&sid=SABN&xid=7b583057&pg=1	
		P	Burdon d	1587	xxx	3	Archives of British Honduras	London	UK	1931	1935			"Lib Service v1: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf
Lib Service v2: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf
Lib Service v3: file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf"	
