Series L 0—382 / Currency and exchange.
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 60	60	1698	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 61	61	1699	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 62	62	1700	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 63	63	1701	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 64	64	1702	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 65	65	1703	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 66	66	1704	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	WI inc Jam put on gold std by Queen Anne on 18 Jun 1704
L 67	67	1705	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 68	68	1706	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 69	69	1707	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 70	70	1708	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 71	71	1709	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 72	72	1710	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
