Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	
S 52	52	1	P	Catesby	xxx		2	vols	"Natural History of Carolina, Florida and the Bahama Islands"				London	UK	1731	1743							Printed by Benjamin White	xxx	
S 55	55	1	P	CDI	1251	1796	42	vols	"Colección de documentos inéditos, relativos al descubrimiento, conquista y organización de las antiguas posesiones españolas de América y Oceanía, sacados de los archivos del reino, y muy especial del de las Indias"				Madrid	Spain	1864	1884								http://id.lib.harvard.edu/alma/99154275040603941/catalog	
S 56	56	1	P	CDIE	xxx		113	vols	Colección de documentos inéditos para la historia de España				Madrid	Spain	1842	1895							112 vols [1842–95] mentioned in some literature /eg Díaz-Trechuelo Spínola 1970 Link: http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/america-en-la-coleccion-de-documentos-ineditos/docview/1300364864/se-2?accountid=11311 	http://id.lib.harvard.edu/alma/990072058750203941/catalog	
S 61	61	1	P	Charlevoix	xxx		2	vols	Histoire de l'Isle espagnole ou de S. Domingue				Paris	France	1730	1731								"Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k6584020m
Gallica v2: https://gallica.bnf.fr/ark:/12148/bpt6k6582990r"	
S 62	62	1	P	Churchill	xxx		6	vols	A collection of voyages and travels				London	UK	xxx	1732						Finamore 72	"Mosquito Shore voyage in 1699 in v 6, 282–298"	Gale v 6: https://link.gale.com/apps/doc/CY0105640354/SABN?u=camb55135&sid=SABN&xid=7b583057&pg=1	
S 63	63	1	MS	Civil List	1786	1896	1	vols	"British Honduras Civil List, 1895–1896"	Archives and Records Service	Belmopan	Belize										Burdon 2			
S 64	64	1	P	Clayton	xxx		1	vols	"Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853 : in vindication of the Central American treaty concluded with Great Britain on the 19th of April, 1850"				Washington	USA	1853							Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0104293458/SABN?u=camb55135&sid=SABN&xid=1d289d88&pg=14 	
S 65	65	1	MS	CO d/d	1570	1990	1073	series	"Records of the Colonial Office, Commonwealth and Foreign and Commonwealth Offices, Empire Marketing Board, and related bodies"	National Archives	Kew	UK										TNA Kew Catalogue	"Hon Blue Books in xxx cited BB y
TNA Kew Catalogue, Link: https://discovery.nationalarchives.gov.uk/ "		
S 66	66	1	P	Cockburn	xxx		1	vols	"The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners ... who were taken by a Spanish guarda costa in the John and Ann, Edward Burt, master, and set on shore at a place call'd Porto-Cavallo ... "				London	UK	1740									https://link.gale.com/apps/doc/CY0101299426/SABN?u=camb55135&sid=SABN&xid=cb833230	
S 67	67	1	P	Cockburn	xxx		1	vols	"A journey over land, from the Gulf of Honduras to the great South-Sea. Performed by John Cockburn, and five other Englishmen, viz. Thomas Rounce, Richard Banister, John Holland, Thomas Robinson, and John Ballman; Who were taken by a Spanish Guarda-Costa, in the John and Jane, Edward Burt Master, and set on Shoar at a Place called Forto-Cavalo, naked and wounded, as mentioned in several News-Papers of October, 1731. Containing, Variety of extraordinary Distresses and Adventures, and some New and Useful Discoveries of the Inland of those almost unknown Parts of America: As also, An exact Account of the Manners, Customs, and Behaviour of the several Indians inhabiting a Tract of Land of 2400 Miles; particularly of their Dispositions towards the Spaniards and English. To which is added, a curious piece, written in the reign of King James I. and never before printed, intitled, A brief discoverye of some things best worth noteinge in the travells of Nicholas Withington, a Factor in the East-Indiase"				London	UK	1735								"London : printed for C. Rivington, at the Bible and Crown in St. Paul's Church yard, M.DCC.XXXV. [1735"	https://link.gale.com/apps/doc/CW0102436627/ECCO?u=camb55135&sid=ECCO&xid=807437e6&pg=1	
