Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	
S 287	287	1	P	White 1 Mos	xxx		1	vols	"The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America : most humbly submitted to the King's Most Excellent Majesty in Council, the Lords and Commons in Parliament, and the nation of Great-Britain at large, 1789"				London	UK	1789									https://link.gale.com/apps/doc/CY0102270362/SABN?u=camb55135&sid=SABN&xid=b8095f09	
S 288	288	1	P	White 2	xxx		1	vols	"The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore : stating the whole of his conduct, in soliciting compensation for the losses, sustained by each of those classes of His Majesty's injured and distressed subjects"				London	UK	1793									https://link.gale.com/apps/doc/CY0101574822/SABN?u=camb55135&sid=SABN&xid=a6dcd8a3	
S 289	289	1	P	Winthrop d	1630	1649	2	vols	History of New England from 1630 to 1649				Boston	USA	1825	1826								"Google v1: https://www.google.com/books/edition/The_History_of_New_England_from_1630_to/GMMSAAAAYAAJ?hl=en&gbpv=0
Google v2: https://www.google.com/books/edition/The_History_of_New_England_from_1630_to/ycISAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover"	
S 292	292	1	P	Wright/van Dam	1621	1649	2	vols	Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla				Utrecht	Netherlands	1934	1935						Goslinga	Edited by Irene A. Wright / Translations by Cornelis F. A. van Dam	"Delpher v1: https://resolver.kb.nl/resolve?urn=MMKB05:000038083 = file:///Users/angelnavidad/Downloads/MMKB05_000038083_pdf.pdf
Delpher v2: https://resolver.kb.nl/resolve?urn=MMKB05:000038084 = file:///Users/angelnavidad/Downloads/MMKB05_000038084_pdf.pdf"	
S 294	294	1	P	Ximenes	xxx		3	vols	Historia de la Provincia de San Vicente de Chiapa y Guatemala de la Orden de Predicadores				Guatemala	Guatemala	1929	1931								"v 1: https://archive.org/details/historiadelaprov01ximguat/page/n5/mode/2up
v 2: https://archive.org/details/BibliotecaGoathemalaAGHGVolIIHistoriaProvinciaSanVicenteDeChiapaGuatemala
v 3: https://archive.org/details/BibliotecaGoathemalaAGHGVolIIIHistoriaProvinciaSanVicenteDeChiapaGuatemala3"	
S 301	301	1	S		1817	2021	xxx		United States Congressional Serial Set				Washington	USA	1817	2021								http://id.lib.harvard.edu/alma/990098609660203941/catalog	
S 336	336	1	P		1722	1917	xxx		"Fondo Reservado, Publicaciones periódicas mexicanas 1722-1917"	Hemeroteca Nacional de México	Mexico	Mexico											Guide Link: https://hnm.iib.unam.mx/index.php/hemeroteca-nacional-de-mexico/colecciones/fondo-reservado/publicaciones-periodicas-mexicanas-1722-1917		
S 302	302	1	P		1690	1922	18000	titles	Newspapers & Periodicals	American Antiquarian Society	Worcester	USA											Guide: https://www.americanantiquarian.org/newspapers-periodicals		
S 331	331	1	P		xxx		5736	items	Latin American Pamphlet Collection	Harvard University	Cambridge	USA											https://library.harvard.edu/collections/latin-american-pamphlet-digital-collection		
S 318	318	1	P		1604	1804	1271	titles	Burney Collection	British Library	London	UK													
S 386	386	1	P		1711	1980	868	vols	Robert Glass Cleland collection on Latin America	Occidental College	Los Angeles	USA													
S 313	313	1	P		1672	1737	300	titles	17th and 18th Century Nichols Newspapers Collection	Bodleian Library	Oxford	UK										Bod Lib Catalogue			
S 429	429	1	P		1568	1949	128	feet	"Latin American pamphlet collection, 1568-1949 (inclusive), 1800-1880 (bulk)"	Yale University	New Haven	USA										Yale University Library	Link: https://hdl.handle.net/10079/bibid/614729		
S 300	300	1	P		1789	1838	38	vols	American State Papers				Washington	USA	1831	1861								https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA512222786880003941&context=L&vid=HVD2&search_scope=everything&tab=everything&lang=en_US	
S 307	307	1	MS		xxx		xxx		Special Collections	Baker Library	Cambridge	USA													
S 308	308	1	MS		xxx		xxx		Latin Americana	Bancroft Library	Berkeley	USA											Guide Link: https://www.lib.berkeley.edu/libraries/bancroft-library/latin-americana		
S 309	309	1	MS		1657	1853	xxx		Wrest Park (Lucas) Manuscripts	Bedfordshire Archives & Records Service	Bedford	UK											TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/2b8f4b12-252e-49d8-b1ae-3cace3bf6145		
S 319	319	1	MS		1738	1809	xxx		Navy Board: Bound Out-letters	Caird Library and Archive	London	UK											"Ref ADM 354
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/C16344"		
S 320	320	1	MS		xxx		xxx		Royal Commonwealth Society	Cambridge University	Cambridge	UK											Catalogue Link: https://www.lib.cam.ac.uk/rcs	Frontier Life inc George Arthur Papers: xxx	
S 339	339	1	MS		xxx		xxx		"Manuscripts for the Study of Iberian, Latin American, and Latino History"	Huntington Library	San Marino	USA											Guide Link: https://hdl.huntington.org/digital/collection/p15150coll1/id/7620/ 		
S 359	359	1	MS		xxx		xxx		Manuscripts	Massachusetts Historical Society	Boston	USA											https://www.masshist.org/collection-guides/browse/manuscript-guides		
S 360	360	1	MS		1788	1990	xxx		"Record Group 84, Records of the Foreign Service Posts of the Department of State"	National Archives and Records Administration	Washington	USA													
S 362	362	1	MS		xxx		xxx		Manuscript collection	National Museum of the Royal Navy	Portsmouth	UK											https://www.nmrn-portsmouth.org.uk/manuscripts-collection-0		
S 384	384	1	MS		xxx		xxx		Spanish-American Colonial Manuscripts	Newberry Library	Chicago	USA											https://www.newberry.org/node/478		
S 400	400	1	MS		xxx		xxx		Manuscritos de América	Real Biblioteca	Madrid	Spain											Catalogue Link: https://realbiblioteca.es/index.php/es/coleccionesrb		
S 412	412	1	MS		xxx		xxx		Latin American Library Special Collections	Tulane University	New Orleans	USA											https://library.tulane.edu/locations/latin-american-library-special-collections		
S 413	413	1	MS		1620	2016	xxx		Book A: Surveys	UK Hydrographic Office Archive	Taunton	UK											TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/967768e0-ca51-4635-ae14-deb758f3e1af		
S 414	414	1	MS		1757	1853	xxx		Miscellaneous Papers (Remark Books)	UK Hydrographic Office Archive	Taunton	UK											TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/6d7ad44d-7bf7-4774-9d9d-0cbcbc13e9b0 		
S 415	415	1	MS		xxx		xxx		Bernath Memorial Collection	University of California	Santa Barbara	USA											https://www.library.ucsb.edu/special-collections/rare-books/bernath-memorial-collection		
S 418	418	1	MS		xxx		xxx		"Rare Books and Manuscripts, Latin America and Caribbean Collection"	University of Florida	Gainesville	USA											Catalogue Link: https://findingaids.uflib.ufl.edu/repositories/2/classifications/6		
S 425	425	1	MS		xxx		xxx		West Indiana and Special Collections	University of the West Indies	St. Augustine	Trinidad and Tobago											https://libraries.sta.uwi.edu/ajl/index.php/caribbean-resources/west-indiana		
S 426	426	1	MS		xxx		xxx		West Indiana and Special Collections	University of the West Indies	Mona	Jamaica											https://www.mona.uwi.edu/library/west-indies-collection-0		
S 427	427	1	MS		xxx		xxx		West Indiana and Special Collections	University of the West Indies	Cave Hill	Barbados											https://www.cavehill.uwi.edu/mainlibrary/search/special-collections/west-indian-collection.aspx		
S 		1	MS		1679	1981	xxx		735 Inventaris van het Archief van de Firma Hope & Co. met verwante archiefvormers	Stadsarchief Amsterdam	Amsterdam	Netherlands											https://archief.amsterdam/inventarissen/details/735/keywords/Hope%20en%20Co./withscans/0/start/0/limit/10/flimit/5		
S 		1	MS		xxx		xxx		Livingston Family Papers	Gilder Lehrman Institute of American History	New York	USA											"Portions possibly deposited in NYPL
Eg Logwood bought in Hon 25 Jan 1749, Gilder Lehrman Inst GLC03107.02753 Link: http://www.americanhistory.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/GLC03107.02753"	xxx	
S 340	340	1	MS		1175	1919	350000	items	Stowe Papers	Huntington Library	San Marino	USA											"Guide Link: https://hdl.handle.net/2027/mdp.39015017633713?urlappend=%3Bseq=165
OAC Link: https://oac.cdlib.org/findaid/ark:/13030/c8ht2qq9/"		
S 342	342	1	MS		1150	1803	13000	items	Egerton family papers	Huntington Library	San Marino	USA										Huntington Catalogue	"HC Link: https://catalog.huntington.org/record=b1526229
OAC Link: https://oac.cdlib.org/findaid/ark:/13030/c8mw2nvw/"		
S 321	321	1	MS		1631	1722	2564	items	William Blathwayt Papers	Colonial Williamsburg Foundation	Williamsburg	USA													
S 355	355	1	MS		1809	1888	2500	items	Ephraim George Squier Papers	Library of Congress	Washington	USA											https://lccn.loc.gov/mm79041087		
S 402	402	1	MS		1691	2018	1441	boxes	(Wesleyan) Methodist Missionary Society Archive	SOAS University of London	London	UK											http://archives.soas.ac.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=MMS 		
S 361	361	1	MS		1780	1815	1184	items	Nugent Papers	National Army Museum	London	UK											TNA: http://discovery.nationalarchives.gov.uk/details/r/c9a48450-da31-492e-b151-6ca2342ba7a4		
S 314	314	1	MS		1701	1989	1063	feet	Papers of the United Society for the Propagation of the Gospel	Bodleian Library	Oxford	UK										Bod Lib Catalogue			
S 383	383	1	MS		1791	1832	535	items	"Jacob Le Roy papers, 1791-1832 (bulk 1810-1820)."	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph000924023		
S 403	403	1	MS		1150	2003	510	boxes	"WYNDHAM OF ORCHARD WYNDHAM, mid 12th century-2003"	Somerset Heritage Centre	Taunton	UK											https://somerset-cat.swheritage.org.uk/records/DD/WY		
S 346	346	1	MS		1657	1770	500	items	William Blathwayt Papers	Huntington Library	San Marino	USA										Online Archive of California	OAC Link: https://oac.cdlib.org/findaid/ark:/13030/tf9b69p05t/		
S 353	353	1	MS		1802	1891	448	vols	"Tait, Archibald Campbell (1811-1882)"	Lambeth Palace	London	UK											https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=Tait		
S 312	312	1	MS		xxx		429	mss	Département des Manuscrits Mexicain	Bibliothèque nationale de France	Paris	France										BnF Catalogue général	BnF Catalogue général Link: https://archivesetmanuscrits.bnf.fr 		
S 337	337	1	MS		1681	1938	385	vols	Powel family papers	Historical Society of Pennsylvania	Philadelphia	USA											Catalogue Link: https://discover.hsp.org		
S 332	332	1	MS		1776	1985	272.76	feet	"Records of the Lydia E. Pinkham Medicine Company, 1776-ca.1985 (inclusive), 1859-1968 (bulk)"	Harvard University	Cambridge	USA											https://hollisarchives.lib.harvard.edu/repositories/8/resources/7693		
S 366	366	1	MS		1890	1999	215	feet	Robert Jackson Alexander papers	New York Public Library	New York	USA													
S 420	420	1	MS		1569	1758	200	items	Central American notarial documents : 1569-1758	University of Minnesota	Minneapolis	USA											https://primo.lib.umn.edu/permalink/f/1jg5c4a/UMN_ALMA21455086360001701		
S 344	344	1	MS		1668	1734	195	items	William Blathwayt Papers (Addenda)	Huntington Library	San Marino	USA											OAC Link: https://oac.cdlib.org/findaid/ark:/13030/kt1199n4mx/		
S 310	310	1	MS		xxx		159	boxes	Archivo Franciscano	Biblioteca Nacional de México	Mexico	Mexico											Catalogue Link: https://bnm.iib.unam.mx/index.php/biblioteca-nacional-de-mexico/colecciones/fondo-reservado/archivos-y-manuscritos		
S 408	408	1	MS		1545	2004	153	boxes	"PAPERS OF THE DICKINSON FAMILY OF KINGWESTON, 1545-2004"	Somerset Heritage Centre	Taunton	UK											https://somerset-cat.swheritage.org.uk/records/DD/DN		
S 324	324	1	MS		1201	1955	129	boxes	Wilmot-Horton of Osmaston and Catton	Derbyshire Record Office	Matlock	UK											TNA: http://discovery.nationalarchives.gov.uk/details/r/cfe1d343-4149-4a53-b4b9-fa8a3dd173ba		
S 338	338	1	MS		1793	1836	129	items	Pile family papers	Historical Society of Pennsylvania	Philadelphia	USA													
S 357	357	1	MS		1832	1890	104	items	Samuel McCutchon papers	Louisiana State University	Baton Rouge	USA											https://www.lib.lsu.edu/sites/default/files/sc/findaid/1049m.pdf		
S 311	311	1	MS		xxx		77	mss	Département des Manuscrits Amérique	Bibliothèque nationale de France	Paris	France										BnF Catalogue général			
S 306	306	1	MS		1776	1815	70	boxes	Vice-Admiralty Court records	Archives Unit	Spanish Town	Jamaica											Records = c 60 to 80 boxes / median used /Claudette Thomas 2011 Link: https://www.ifla.org/past-wlic/2011/141-thomas-en.pdf		
S 328	328	1	MS		1536	1996	50	feet	"Frank Baker collection of Wesleyana and British Methodism, 1536-1996 and undated"	Duke University	Durham	USA													
S 349	349	1	MS		1784	1832	50	items	"Bennett, John & Sons of London"	Kent History and Library Centre	Maidstone	UK											TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/5da28075-2a5b-4959-812c-14afbbe4c0ef		
S 341	341	1	MS		1849	1859	45	items	George Mifflin Dallas papers	Huntington Library	San Marino	USA										Huntington Catalogue	HC Link: https://catalog.huntington.org/record=b1591201		
S 335	335	1	MS		1664	1854	44	feet	"Hancock family papers, 1664-1854 (inclusive)"	Harvard University	Cambridge	USA											https://hollisarchives.lib.harvard.edu/repositories/11/resources/7584		
S 351	351	1	MS		1626	1822	40	vols	Fulham Papers Colonial	Lambeth Palace	London	UK											https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=FP%2f1-40		
S 348	348	1	MS		1847	2011	35	feet	Belize Mission Collection	Jesuit Archives & Research Center	Saint Louis	USA											Guide Link: http://jesuitarchives.org/collections/missouri-province-archive/belize-mission-collection/		
S 345	345	1	MS		1671	1712	34	items	Correspondence and documents from the office of William Blathwayt	Huntington Library	San Marino	USA													
S 399	399	1	MS		xxx		32	vols	"Manuscritos, Memorias de Nueva España o Boturini"	Real Academia de la Historia	Madrid	Spain											Signatura 9/4857-4886 y 9/4930-4948		
S 369	369	1	MS		1483	1876	30.83	feet	Thomas Addis Emmet collection	New York Public Library	New York	USA													
S 317	317	1	MS		1654	1937	28	boxes	"Joseph J. Williams, SJ ethnological collection"	Boston College	Boston	USA													
S 424	424	1	MS		1808	1821	23	items	Louis-Michel Aury Papers	University of Texas	Austin	USA											http://legacy.lib.utexas.edu/taro/utcah/00809/cah-00809.html		
S 405	405	1	MS		1715	1804	20	items	Miscellaneous papers. 1715-1804	Somerset Heritage Centre	Taunton	UK											https://somerset-cat.swheritage.org.uk/records/DD/GC/75		
S 333	333	1	MS		1743	1797	17	vols	Papeles varios de America	Harvard University	Cambridge	USA											https://hollisarchives.lib.harvard.edu/repositories/24/resources/3938		
S 410	410	1	MS		1801	1817	16	items	Henry Drinker Letters to Isaac Hicks	Swarthmore College	Swarthmore	USA											Catalogue Link: http://archives.tricolib.brynmawr.edu/repositories/7/resources/8705		
S 347	347	1	MS		1808	1964	15.75	feet	"Hugh Hammond Bennett papers, 1808-1964, undated"	Iowa State University	Ames	USA											ISU Aid: https://isuarchives.cuadra.com/star/findingaids/ms-0164.xml		
S 387	387	1	MS		1498	2000	14	series	House of Lords: Journal Office: Main Papers	Parliamentary Archives	London	UK											TNA Discovery: http://discovery.nationalarchives.gov.uk/browse/r/h/3eeacff7-c324-4de1-88db-3550038feb19		
S 421	421	1	MS		1881	2000	12.8	feet	Records of YMCA international work in Latin America	University of Minnesota	Minneapolis	USA											https://archives.lib.umn.edu/repositories/7/resources/981		
S 409	409	1	MS		1912	1968	12.25	feet	"Papers, Mark F. Boyd"	State Library and Archives of Florida	Tallahassee	USA											Not found in Archives Catalogue Link: http://archivescatalog.info.florida.gov		
S 423	423	1	MS		1874	1988	11	feet	Helen Madora Bisbee Papers	University of Texas	Austin	USA											http://legacy.lib.utexas.edu/taro/ttusw/00146/tsw-00146.html		
S 327	327	1	MS		1768	1794	10	feet	"James Rogers papers, 1768-1794 and undated"	Duke University	Durham	USA													
S 330	330	1	MS		1750	1850	10	feet	Collection of Philadelphia merchants records	Hagley Museum and Library	Wilmington	USA											Guide Link: https://findingaids.hagley.org/repositories/3/resources/830		
S 334	334	1	MS		1762	1829	10	boxes	"John Coffin Jones business records, 1762-1829 (inclusive)"	Harvard University	Cambridge	USA											https://hollisarchives.lib.harvard.edu/repositories/11/resources/7250		
S 375	375	1	MS		1870	1890	10	items	"Emile A. Hart papers, between 1870 and 1890?"	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph004228945		
S 419	419	1	MS		1660	1804	9.5	feet	"Charles Townshend papers (1660-1804, bulk 1748-1767)"	University of Michigan	Ann Arbor	USA											https://quod.lib.umich.edu/c/clementsead/umich-wcl-M-1773tow?view=text		
S 392	392	1	MS		1720	1915	9	boxes	"Gardner Family Papers, 1720-1915, undated"	Peabody Essex Museum	Rowley	USA													
S 430	430	1	MS		1771	1959	9	vols	"Records of the Moravian Missions, 1771-1959 (inclusive)"	Yale University	New Haven	USA											https://hdl.handle.net/10079/bibid/4169488		
S 303	303	1	MS		1885	1985	8.3	feet	"Records, United Bible Societies, Latin America Regional Center"	American Bible Society	Philadelphia	USA											Assume ABS records moved from NY to PA in 2015 / Guide not found		
S 373	373	1	MS		1847	1894	8	vols	"Papers, 1847-1894 (bulk 1849-1859)"	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph000799542		
S 398	398	1	MS		xxx		8	vols	"Manuscritos, América"	Real Academia de la Historia	Madrid	Spain											Signatura 9/1917-1924		
S 354	354	1	MS		1642	1972	7	series	Christian Faith Society	Lambeth Palace	London	UK											https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=CFS		
S 378	378	1	MS		1824	1829	7	items	"La Nouvelle Neustrie collection, 1824-1829, undated"	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph004680486		
S 434	434	1	MS		1664	1857	7	boxes	"British Caribbean documents, 1664-1857 (bulk 1765-1825)"	Yale University	New Haven	USA											https://hdl.handle.net/10079/bibid/12766676		
S 396	396	1	MS		1869	1918	6.75	feet	Charles P. Bowditch papers	Peabody Museum	Cambridge	USA											https://hollisarchives.lib.harvard.edu/repositories/6/resources/4763		
S 323	323	1	MS		1884	1957	6	feet	James G. Needham papers	Cornell University	Ithaca	USA													
S 374	374	1	MS		1752	1799	6	vols	"Account books, James Beekman"	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001514867		
S 388	388	1	MS		1677	1897	6	feet	Barton family papers	Peabody Essex Museum	Rowley	USA											https://pem.as.atlas-sys.com/repositories/2/resources/124		
S 411	411	1	MS		1736	1951	5	feet	"Document collection, Randolph Lee"	Town of Yorktown Museum	Yorktown Heights	USA											Catalogue not found		
S 365	365	1	MS		1920	1993	4	folders	Arthur Alfonso Schomburg collection	New York Public Library	New York	USA													
S 431	431	1	MS		1576	1949	4	boxes	"Central America collection, 1576-1949 (inclusive)."	Yale University	New Haven	USA											https://hdl.handle.net/10079/bibid/4816612		
S 395	395	1	MS		1891	1901	2.9	feet	Central American Expedition records	Peabody Museum	Cambridge	USA											https://hollisarchives.lib.harvard.edu/repositories/6/resources/4768		
S 389	389	1	MS		1684	1858	2.5	feet	Goodhue family papers	Peabody Essex Museum	Rowley	USA											https://pem.as.atlas-sys.com/repositories/2/resources/111		
S 390	390	1	MS		1759	1830	2.5	feet	Waite family papers	Peabody Essex Museum	Rowley	USA													
S 322	322	1	MS		1803	1805	2	items	Asa Hosmer letters to his daughter Nancy	Connecticut Historical Society	Hartford	USA										WorldCat	Not found in CHS Catalogue Link: https://chs.waldo.kohalibrary.com		
S 372	372	1	MS		1746	1888	2	feet	"Squier family papers, 1746-1888 (bulk 1816-1888)"	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph000801952		
S 380	380	1	MS		1762	1768	2	vols	"Letter book and waste book, 1762-1768."	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001616011		
S 393	393	1	MS		1780	1827	2	boxes	"Elijah and Jacob Sanderson Papers, 1780-1827, circa 1938, undated"	Peabody Essex Museum	Rowley	USA													
S 433	433	1	MS		1826	1830	2	vols	Charles Dashwood diaries and commissions relating to Xalapa and Guatemala City	Yale University	New Haven	USA											https://hdl.handle.net/10079/bibid/8013010		
S 435	435	1	MS		1768	1774	2	items	"Accounts for slave sales at the Bay of Honduras, 1768-1774"	Yale University	New Haven	USA											https://hdl.handle.net/10079/bibid/11880621		
S 304	304	1	MS		1778	1778	1	items	"Account for repairs done at Honduras to sloop ""Cupid"", (captain Wm. Carlyon), and stores taken on board"	Archives and Cornish Studies Service	Redruth	UK											"Ref CN/3389
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/9d6e7f1b-4243-47e8-8086-07a8b583b0de"		
S 315	315	1	MS		1894	1960	1	boxes	Papers of George Croker Bayly	Bodleian Library	Oxford	UK										Bod Lib Catalogue			
S 316	316	1	MS		1762	1762	1	items	"Letter of attorney: Peter Ainsworth (1) and Peter Ainsworth (2) to Daniel Wilcox of Liverpool, master of the vessel ""King of Prussia"" and Peter Higson of Bolton, gentleman"	Bolton Archives and Local Studies Service	Bolton	UK											TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/d98d024b-a3f9-47e7-8ba0-4cc60ecd11e3		
S 325	325	1	MS		1803	1803	1	items	Memorandum on Bay of Honduras	Devon Archives and Local Studies Archive	Exeter	UK											TNA: http://discovery.nationalarchives.gov.uk/details/r/b741fca3-84f6-4b82-b935-3882ada856bc		
S 326	326	1	MS		1666	1825	1	vols	Hotchkin Family Plantation record book	Duke University	Durham	USA													
S 329	329	1	MS		1862	1863	1	items	William Howard Hooker Collection: H.M.S. Desperate Logbook	East Carolina University	Greenville	USA											Link: http://digital.lib.ecu.edu/1905		
S 343	343	1	MS		1661	1671	1	vols	"A compilation of ""Instructions to Governors, Commissions, and other Papers respecting the Colonies,"" chiefly relating to Jamaica and Barbados"	Huntington Library	San Marino	USA											HC Link: https://catalog.huntington.org/record=b1071225		
S 350	350	1	MS		1804	1804	1	items	Memo. relating to Mr. Anderson and Honduras.	Kent History and Library Centre	Maidstone	UK											TNA: http://discovery.nationalarchives.gov.uk/details/r/b9e3d4f3-a83e-40c0-8fae-93a8b6a7c8eb		
S 352	352	1	MS		1869	1884	1	items	Correspondence and papers on churches outside the diocese of London	Lambeth Palace	London	UK											https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=FP%2fJackson%2fF%2f54		
S 356	356	1	MS		1763	1763	1	items	Leverpool	Liverpool Record Office	Liverpool	UK											"Ref 920 NIC/5/5/74
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/65573d34-8ceb-4e7d-83ce-1859b0d115be"		
S 358	358	1	MS		1700	1721	1	vols	"Council of Trade and Plantations letter book, Mss. 680"	Louisiana State University	Baton Rouge	USA											https://lsu.ent.sirsi.net/client/en_US/lsu/search/detailnonmodal/ent:$002f$002fSD_LSU$002f0$002fSD_LSU:1254833/one		
S 363	363	1	MS		1804	1805	1	items	log of voyage from London to Barbados and the Bay of Honduras	National Records of Scotland	Edinburgh	UK											TNA: http://discovery.nationalarchives.gov.uk/details/r/N13670886		
S 364	364	1	MS		1728	1733	1	vols	"Account book, 1728-1733, Mss C 5000"	New England Historic Genealogical Society	Boston	USA											http://library.nehgs.org/record=b1064377~S0		
S 367	367	1	MS		1739	1742	1	vols	Nicholas Stewart daybook	New York Public Library	New York	USA													
S 368	368	1	MS		1714	1716	1	vols	Thomas Moffatt correspondence	New York Public Library	New York	USA													
S 370	370	1	MS		1662	1788	1	vols	Letters from Jamaica on commercial affairs	New York Public Library	New York	USA													
S 371	371	1	MS		1768	1787	1	items	Benjamin Randolph ledger	New York Public Library	New York	USA													
S 376	376	1	MS		1769	1785	1	vols	"Account book, [1785?]."	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001583291		
S 377	377	1	MS		1680	1680	1	items	"Document, 1680, June 22."	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001451820		
S 379	379	1	MS		1772	1773	1	items	"James Glean notarized document, 1773 February 3"	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph003431907		
S 381	381	1	MS		1847	1847	1	items	"George Alexander Braddick indenture, 1847 February 15"	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph004077113		
S 382	382	1	MS		1756	1757	1	vols	"Letter book, 1756 May 10-1757 Jan. 24."	New-York Historical Society	New York	USA											https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001708405		
S 385	385	1	MS		1645	1645	1	items	"Accounts   Of trade in various commodities including logwood, stockings & kersey (moth..."	Northamptonshire Archives	Northampton	UK											"Ref Th 1802
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/b87a326f-fb84-4024-9371-b73f9e4a9003"		
S 391	391	1	MS		1784	1823	1	boxes	Papers of Joseph Russell and William Russell	Peabody Essex Museum	Rowley	USA													
S 394	394	1	MS		1801	1846	1	boxes	"William Hook Papers, 1801-1846, undated"	Peabody Essex Museum	Rowley	USA													
S 401	401	1	MS		1779	1779	1	items	List of ships and booty taken in the Bay of Honduras 'by Capt. Luttrel with ships from Jamaica'	Sheffield City Archives	Sheffield	UK											"Ref WWM/R/1/1862
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/8d69ce79-54e8-4c7c-9fd2-1eebed119d6e"		
S 404	404	1	MS		1849	1890	1	vols	Notes on the building of chapels. 1849-1890	Somerset Heritage Centre	Taunton	UK											https://somerset-cat.swheritage.org.uk/records/D/N/wsc/7/9		
S 406	406	1	MS		1676	1676	1	items	Informations. 5 Jun 1676	Somerset Heritage Centre	Taunton	UK											https://somerset-cat.swheritage.org.uk/records/Q/SR/130/30		
S 407	407	1	MS		1701	1703	1	vols	"Papers of William Sealy, Bridgwater. 1701-1703"	Somerset Heritage Centre	Taunton	UK											https://somerset-cat.swheritage.org.uk/records/DD/X/PG/1		
S 417	417	1	MS		1842	1843	1	items	"Personal journal of Captain Arthur Darley, R.N."	University of Delaware	Newark	USA											https://library.udel.edu/special/findaids/view?docId=ead/mss0097_0018.xml		
S 428	428	1	MS		1633	1633	1	items	Certificate	West Yorkshire Archive Service	Leeds	UK											"Ref WYL100/PO/6/X/1
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/3ab55b40-58ae-4c36-aac0-088ea937d165"		
S 432	432	1	MS		1838	1871	1	boxes	"Aaron Columbus Burr papers, 1838-1871 (inclusive)"	Yale University	New Haven	USA											https://hdl.handle.net/10079/bibid/613852		
S 422	422	1	MS		1848	1906	0.77	feet	"Dashiell, Jeremiah Yellot, papers"	University of Texas	Austin	USA											https://legacy.lib.utexas.edu/taro/utcah/01833/cah-01833.html		
S 416	416	1	MS		1682	1968	0.5	feet	Bryant West Indies Ephemera Collection	University of Central Florida	Orlando	USA											https://scua.library.ucf.edu/repositories/4/resources/103		
S 397	397	1	MS		1844	1863	0.25	feet	James Henry Cunningham family papers	Penobscot Marine Museum	Searsport	USA											Not found in Archives Catalogue Link: https://penobscotmarinemuseum.org/museum-collections-database/		
