Table 1
18 Jul 54	Link	Boston News-Letter (2715)	
05 Aug 54	Link	New-York Mercury (104)	
05 Aug 54	Link	New-York Mercury (104)	
27 Aug 54	Link	Boston Gazette (87)	
12 Sep 54	Link	Boston News-Letter (2723)	
14 Oct 54	Link	Boston Evening-Post (998)	
17 Oct 54	Link	Boston News-Letter (2728)	
04 Nov 54	Link	Boston Post-Boy (1024)	
07 Nov 54	Link	Boston News-Letter (2731)	
11 Nov 54	Link	Boston Evening-Post (1002)	
11 Nov 54	Link	Boston Post-Boy (1025)	
25 Nov 54	Link	Boston Evening-Post (1004)	
25 Nov 54	Link	Boston Post-Boy (1026)	
09 Dec 54	Link	Boston Post-Boy (1028)	
10 Dec 54	Link	Boston Gazette (102)	
12 Dec 54	Link	Boston News-Letter (2736)	
14 Dec 54	Link	Z2000658065	
28 Dec 54	Link	Z2000658101	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001377136/GDCS?u=camb55135&sid=GDCS&xid=bb8b61c7
30 Jan 55	Link	Z2000658205	
11 Feb 55	Link	Boston Gazette (111)	
11 Mar 55	Link	Boston Gazette (115)	
31 Mar 55	Link	Boston Evening-Post (1022)	
01 Apr 55	Link	Boston Gazette (118)	
03 Apr 55	Link	Boston News-Letter (2752)	
18 Aug 55	Link	Boston Gazette (20)	
21 Aug 55	Link	Boston News-Letter (2772)	
06 Oct 55	Link	Z2001070665	
09 Oct 55	Link	Boston News-Letter (2779)	
11 Oct 55	Link	Z2001247773	
17 Nov 55	Link	Boston Evening-Post (1055)	
16 Feb 56	Link	Boston Gazette (46)	
19 Feb 56	Link	Boston News-Letter (2798)	
04 Mar 56	Link	Boston News-Letter (2800)	
19 Jul 56	Link	New-York Mercury (206)	
19 Jul 56	Link	New-York Mercury (206)	
02 Sep 56	Link	Boston News-Letter (2826)	
07 Oct 56	Link	Boston News-Letter	
25 Oct 56	Link	New-York Mercury (220)	
15 Nov 56	Link	New-York Mercury (223)	
22 Nov 56	Link	New-York Mercury (224)	
02 Dec 56	Link	Boston News-Letter (2839)	
20 Dec 56	Link	Boston Gazette (90)	
10 Jan 57	Link	"New-York Gazette, or Weekly Post-Boy (730)"	
10 Jan 57	Link	"New-York Gazette, or Weekly Post-Boy (730)"	
21 Feb 57	Link	Boston Gazette (99)	
28 Feb 57	Link	"New-York Gazette, or Weekly Post-Boy (737)"	
07 Mar 57	Link	Boston Evening-Post (1123)	
07 Mar 57	Link	Boston Gazette (101)	
07 Mar 57	Link	Boston Gazette (101)	
10 Mar 57	Link	Boston News-Letter (2853)	
25 Apr 57	Link	Boston Gazette (108)	
25 Apr 57	Link	New-York Mercury (246)	
05 May 57	Link	Boston News-Letter (2861)	
23 May 57	Link	Boston Evening-Post (1134)	
30 May 57	Link	"New-York Gazette, or Weekly Post-Boy (750)"	
30 May 57	Link	"New-York Gazette, or Weekly Post-Boy (750)"	
30 May 57	Link	New-York Mercury (251)	
30 May 57	Link	"New-York Gazette, or Weekly Post-Boy (750)"	
30 May 57	Link	New-York Mercury (251)	
30 May 57	Link	"New-York Gazette, or Weekly Post-Boy (750)"	
06 Jun 57	Link	Boston Gazette (114)	
09 Jun 57	Link	Boston News-Letter (2866)	
04 Jul 57	Link	New-York Mercury (256)	
18 Jul 57	Link	"New-York Gazette, or Weekly Post-Boy (757)"	
18 Jul 57	Link	New-York Mercury (258)	
08 Aug 57	Link	Boston Evening-Post (1145)	
08 Aug 57	Link	Boston Gazette (123)	
05 Sep 57	Link	Boston Post-Boy (3)	
19 Sep 57	Link	Boston Post-Boy (5)	
14 Nov 57	Link	"New-York Gazette, or Weekly Post-Boy (773)"	
14 Nov 57	Link	"New-York Gazette, or Weekly Post-Boy (773)"	
14 Nov 57	Link	"New-York Gazette, or Weekly Post-Boy (773)"	
14 Nov 57	Link	"New-York Gazette, or Weekly Post-Boy (773)"	
14 Nov 57	Link	"New-York Gazette, or Weekly Post-Boy (773)"	
14 Nov 57	Link	"New-York Gazette, or Weekly Post-Boy (773)"	
14 Nov 57	Link	New-York Mercury (274)	
14 Aug 58	Link	New-York Mercury (313)	
23 Oct 58	Link	Boston Post-Boy (62)	
22 Jan 59	Link	Boston Evening-Post (1221)	
16 Apr 59	Link	Boston Evening-Post (1233)	
11 Jun 59	Link	Boston Evening-Post (1241)	
20 Aug 59	Link	Boston Evening-Post (1251)	
27 Aug 59	Link	New-York Gazette (28)	
20 Sep 59	Link	Boston News-Letter (2038)	
11 Feb 60	Link	Boston Evening-Post (1276)	
03 Mar 60	Link	New-York Gazette (56)	
03 Mar 60	Link	New-York Mercury (394)	
03 Mar 60	Link	New-York Gazette (56)	
03 Mar 60	Link	New-York Mercury (394)	
21 May 64	Link	Boston Evening-Post (1498)	
07 Jun 64	Link	Boston News-Letter (3146)	
11 Jun 64	Link	The BOSTON Post-Boy & Advertiser. (356)	
11 Jun 64	Link	New-York Gazette (288)	
23 Jul 64	Link	The BOSTON Post-Boy & Advertiser. (362)	
26 Jul 64	Link	Boston News-Letter (3153)	
20 Aug 64	Link	New-York Mercury (669)	
27 Aug 64	Link	Boston Evening-Post (1512)	
17 Sep 64	Link	New-York Mercury (673)	
29 Sep 64	Link	Boston Evening-Post (1521)	
15 Oct 64	Link	Boston Evening-Post (1519)	
22 Oct 64	Link	New-York Gazette (307)	
22 Oct 64	Link	New-York Gazette (307)	
29 Oct 64	Link	"The Boston Post-Boy, &c. Extraordinary. (376)"	
29 Oct 64	Link	New-York Mercury (679)	
29 Oct 64	Link	New-York Mercury (679)	
28 Jan 65	Link	Boston Evening-Post (1534)	
31 Jan 65	Link	Boston News-Letter (3180)	
04 Feb 65	Link	The BOSTON Post-Boy & Advertiser. (390)	
25 Mar 65	Link	The BOSTON Post-Boy & Advertiser. (397)	
15 Apr 65	Link	Boston Evening-Post (1545)	
15 Apr 65	Link	The BOSTON Post-Boy & Advertiser. (400)	
27 May 65	Link	"SUPPLEMENT to the Boston-Gazette, &c. (530)"	
03 Jun 65	Link	New-York Mercury (710)	
06 Jun 65	Link	Boston News-Letter (3198)	
10 Jun 65	Link	Boston Evening-Post (1553)	
10 Jun 65	Link	New-York Mercury (711)	
17 Jun 65	Link	New-York Mercury (712)	
24 Jun 65	Link	Boston Evening-Post (1555)	
24 Jun 65	Link	Boston Gazette (534)	
24 Jun 65	Link	The BOSTON Post-Boy & Advertiser. (410)	
27 Jun 65	Link	Boston News-Letter (3201)	
01 Jul 65	Link	"SUPPLEMENT to the Boston-Gazette, &c. (535)"	
01 Jul 65	Link	The BOSTON Post-Boy & Advertiser. (411)	
08 Jul 65	Link	New-York Mercury (715)	
22 Jul 65	Link	Boston Evening-Post (1559)	
22 Jul 65	Link	Boston Gazette (538)	
22 Jul 65	Link	New-York Gazette	
19 Aug 65	Link	The BOSTON Post-Boy & Advertiser. (418)	
19 Aug 65	Link	Boston Evening-Post (1562)	
19 Aug 65	Link	New-York Mercury (721)	
19 Aug 65	Link	New-York Mercury (721)	
22 Aug 65	Link	Boston News-Letter (3209)	
09 Sep 65	Link	Boston Evening-Post (1565)	
07 Oct 65	Link	Boston Evening-Post (1569)	
07 Oct 65	Link	"SUPPLEMENT to the Boston-Gazette, &c. (549)"	
07 Oct 65	Link	The BOSTON Post-Boy & Advertiser. (425)	
10 Oct 65	Link	Boston News-Letter (3236)	
31 Oct 65	Link	Z2000352153	
16 Dec 65	Link	New-York Mercury (738)	
16 Dec 65	Link	New-York Mercury (738)	
20 Jan 66	Link	New-York Gazette (351)	
20 Jan 66	Link	New-York Mercury (743)	
10 Feb 66	Link	Z2000353875	
10 Feb 66	Link	The BOSTON Post-Boy & Advertiser. (443)	
13 Mar 66	Link	Boston News-Letter	
17 Mar 66	Link	The BOSTON Post-Boy & Advertiser. (448)	
26 May 66	Link	The BOSTON Post-Boy & Advertiser. (458)	
29 May 66	Link	Boston News-Letter (3269)	
28 Jul 66	Link	The BOSTON Post-Boy & Advertiser. (467)	
31 Jul 66	Link	Boston News-Letter (3278)	
27 Oct 66	Link	New-York Gazette (394)	
17 Nov 66	Link	New-York Gazette (397)	
17 Nov 66	Link	New-York Mercury (786)	
02 Feb 67	Link	"(1767, February 2). New-York Gazette (408)"	
05 Feb 67	Link	"New-York Gazette, or Weekly Post-Boy (1257)"	
05 Feb 67	Link	New-York Journal (1257)	
12 Feb 67	Link	Boston News-Letter (3306)	
30 Mar 67	Link	New-York Mercury (804)	
02 Apr 67	Link	New-York Journal (1265)	
02 Apr 67	Link	New-York Journal (1265)	
07 May 67	Link	Boston News-Letter (3318)	
11 May 67	Link	New-York Gazette (422)	
11 May 67	Link	New-York Gazette (422)	
14 May 67	Link	"New-York Gazette, or Weekly Post-Boy (1271)"	
14 May 67	Link	"New-York Gazette, or Weekly Post-Boy (1271)"	
01 Jun 67	Link	New-York Mercury (813)	
01 Jun 67	Link	New-York Mercury (813)	
01 Jun 67	Link	New-York Mercury (813)	
04 Jun 67	Link	"New-York Gazette, or Weekly Post-Boy (1274)"	
04 Jun 67	Link	New-York Journal (1274)	
15 Jun 67	Link	New-York Gazette (427)	
06 Jul 67	Link	Boston Evening-Post (1659)	
16 Jul 67	Link	"New-York Gazette, or Weekly Post-Boy (1280)"	
16 Jul 67	Link	New-York Journal (1280)	
16 Jul 67	Link	"New-York Gazette, or Weekly Post-Boy (1280)"	
16 Jul 67	Link	New-York Journal (1280)	
20 Jul 67	Link	New-York Gazette (432)	
27 Jul 67	Link	New-York Gazette (433)	
06 Aug 67	Link	New-York Journal (1283)	
17 Aug 67	Link	New-York Gazette (436)	
21 Sep 67	Link	"(1767, September 21). New-York Gazette (441)"	
21 Sep 67	Link	"(1767, September 21). New-York Gazette (441)"	
12 Nov 67	Link	"New-York Gazette, or Weekly Post-Boy (1297)"	
16 Nov 67	Link	The BOSTON Post-Boy & Advertiser. (535)	
16 Nov 67	Link	New-York Gazette (449)	
16 Nov 67	Link	New-York Gazette (449)	
19 Nov 67	Link	Boston News-Letter (3346)	
02 May 68	Link	"New-York Gazette, or Weekly Post-Boy (1322)"	
02 May 68	Link	"New-York Gazette, or Weekly Post-Boy (1322)"	
23 May 68	Link	"New-York Gazette, or Weekly Post-Boy (1325)"	
23 May 68	Link	"New-York Gazette, or Weekly Post-Boy (1325)"	
01 Aug 68	Link	Boston Evening-Post (1714)	
