Series S 0—421 / Primary sources which are deposited series or collections.
ID	NO	PRIM	COLL	TYPE	ALT ID	CITED	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	IMPRINT	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	END	
S 113	113	1	1	MS	xxx	0	1654	1937	28	boxes	"Joseph J. Williams, SJ ethnological collection"	Boston College	Boston	USA	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S 125	125	1	1	MS	RCS a	6	xxx	xxx	xxx	xxx	Royal Commonwealth Society	Cambridge University	Cambridge	UK	np	np	np	np	np	np	np	np	np	np	xnp	Catalogue Link: https://www.lib.cam.ac.uk/rcs	Frontier Life inc George Arthur Papers: xxx	###	
S 127	127	1	1	MS	xxx	0	xxx	xxx	xxx	xxx	[Foreign] Bible Society's Library	Cambridge University	Cambridge	UK	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S 153	153	1	1	P	xxx	0	xxx	xxx	5736	items	Latin American Pamphlet Collection	Harvard University	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://library.harvard.edu/collections/latin-american-pamphlet-digital-collection	xnp	###	
S 161	161	1	1	MS	xxx	0	1776	1985	272.76	feet	"Records of the Lydia E. Pinkham Medicine Company, 1776-ca.1985 (inclusive), 1859-1968 (bulk)"	Harvard University	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hollisarchives.lib.harvard.edu/repositories/8/resources/7693	xnp	###	
S 319	319	1	1	MS	xxx	0	1891	1901	2.9	feet	Central American Expedition records	Peabody Museum	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hollisarchives.lib.harvard.edu/repositories/6/resources/4768	xnp	###	
S 321	321	1	1	MS	xxx	0	1869	1918	6.75	feet	Charles P. Bowditch papers	Peabody Museum	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hollisarchives.lib.harvard.edu/repositories/6/resources/4763	xnp	###	
S 159	159	1	1	MS	xxx	0	1743	1797	17	vols	Papeles varios de America	Harvard University	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hollisarchives.lib.harvard.edu/repositories/24/resources/3938	xnp	###	
S 155	155	1	1	MS	xxx	0	1664	1854	44	feet	"Hancock family papers, 1664-1854 (inclusive)"	Harvard University	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hollisarchives.lib.harvard.edu/repositories/11/resources/7584	xnp	###	
S 157	157	1	1	MS	xxx	0	1762	1829	10	boxes	"John Coffin Jones business records, 1762-1829 (inclusive)"	Harvard University	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hollisarchives.lib.harvard.edu/repositories/11/resources/7250	xnp	###	
S 85	85	1	1	MS	xxx	0	xxx	xxx	xxx	xxx	Special Collections	Baker Library	Cambridge	USA	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S 397	397	1	1	MS	xxx	0	xxx	xxx	xxx	xxx	West Indiana and Special Collections	University of the West Indies	Cave Hill	Barbados	np	np	np	np	np	np	np	np	np	np	xnp	https://www.cavehill.uwi.edu/mainlibrary/search/special-collections/west-indian-collection.aspx	xnp	###	
