Table 1
Date	Link	Delpher		Address	
23 Dec 1677	Link	"""SPANGIEN."". ""Amsterdamse courant"". Amsterdam, 1677/12/23 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010899274:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000632515/GDCS?u=camb55135&sid=GDCS&xid=bb3448b4	
14 Sep 1679	Link	"""De Paris le 8 Septembre."". ""La gazette d'Amsterdam"". Amsterdam, 1679/09/14 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010965519:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000252377/GDCS?u=camb55135&sid=GDCS&xid=0a21a172	
14 Jan 1683	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/01/14 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224799:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001242714/GDCS?u=camb55135&sid=GDCS&xid=f8c30e5c	
9 Feb 1683	Link	"""NEDERLANDEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/02/09 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224812:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001496196/GDCS?u=camb55135&sid=GDCS&xid=43f6bc6d	
11 Feb 1683	Link	"""Advertentie"". ""Oprechte Haerlemsche courant"". Haerlem, 1683/02/11 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224813:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001496196/GDCS?u=camb55135&sid=GDCS&xid=43f6bc6d	
6 Apr 1683	Link	"""NEDERLANDEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/04/06 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224838:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000253173/GDCS?u=camb55135&sid=GDCS&xid=0274a29b	
13 Jul 1683	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/07/13 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224885:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000434671/GDCS?u=camb55135&sid=GDCS&xid=d4544fb3	
29 Jul 1683	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/07/29 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224893:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000139186/GDCS?u=camb55135&sid=GDCS&xid=45ec79bb	
12 Aug 1683	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/08/12 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224900:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000658065/GDCS?u=camb55135&sid=GDCS&xid=d8a0a5ac	
14 Aug 1683	Link	"""Advertentie"". ""Oprechte Haerlemsche courant"". Haerlem, 1683/08/14 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224901:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000658101/GDCS?u=camb55135&sid=GDCS&xid=8d26f435	
