Table 1
	Link	Auhor	Pub	p	Title	Desc	Desc	Desc	Desc	Desc	
1998	Arm 1998	K. E. Lane	"Armonk, NY"		Pillaging the Empire	Assault on Tor & migration 34	Assault on Provid 41				file:///Users/angelnavidad/Downloads/9781315722269.pdf
1998	Sta 1998	G. D. Jones	"Stanford, CA"		Conquest of the Last Maya Kingdom						https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515
2002	CWM 2002	C. Meide	CWM		A Plague of Ships	Sp ships					https://www.ltrr.arizona.edu/webhome/cbaisan/Florida/A_Plague_of_Ships_Spanish_Ships_and_Ship.pdf
2008	San 2008	D. F. Marley	"Santa Barbara, CA"		Wars of the Americas	"Fr sack P Cab 1558, 1560"	"Eng sack P Cab 1592, 1594 [var], 1595 [var], 1597, 1602, 1603, 1668"	Baymen sack Ascension 1727	Bacalar rebuilt 1729	"Fr Sp assault Tortuga 1634, 1642, 1654, 1662, 1663"	"file:///Users/angelnavidad/Downloads/Wars of the Americas A Chronology of Armed Conflict in the Western Hemisphere, 1492 to the Present by David Marley (z-lib.org).pdf"
2009	Cam 2009	J. Latimer	"Cambridge, MA"		Buccaneers of the Caribbean	Providence falls 1641					https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172
2009	Ith 2009	M. Craton	Ithaca		Testing the chains: resistance to slavery in the British West Indies	Slave revolts	Slave desertions				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568
2010	CSI 2010	J. A. Wombwell	CSIP		Long War Against Piracy						https://www.hsdl.org/?view&did=23760
2011	Gai 2011	E. Graham	"Gainesville, FL"		Maya Christians and Their Churches in Sixteenth-Century Belize	Bucc raids > 1638					https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957
2014	DU 2014	M. Restall	DU		Crossing to Safety? Frontier Flight in Eighteenth-Century Belize and Yucatan	Af Slavery					https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-2694300
2017	DU 2017	A. Bialuschewski	DU		Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century						https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359
2017	WGF 2017	"J. A. Hoggarth, et al."	WGF		Drought and Its Demographic Effects in the Maya Lowlands	Famine 1771					https://doi.org/10.1086/690046
2019	Bel 2019	"M. Ferguson, et al."	Belmopan		A History of Slavery & Emancipation in Belize	Af Slavery					https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf
2020	UW 2020	S. L. Fischbeck	UW		Agricultural Terrace Productivity in the Maya Lowlands of Belize	Maya agriculture					http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf
