Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	AUTHORS	EDITORS	PERIOD	PERIOD	VOLS	UNITS	JOURNAL	V	I	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
S 50	50	1	P	Castell			xxx		1					"A short discoverie of the coasts and continent of America, from the equinoctiall northward, and the adjacent isles"				London	UK	1644	1644	Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/short-discoverie-coasts-continent-america/docview/2240968812/se-2?accountid=11311	
S 51	51	1	P	Castillo			xxx		1					Historia verdadera de la conquista de la Nueva España				Madrid	Spain	1632	1632		"Abridged, translated version by D. Carrasco, The History of the Conquest of New Spain, Albuquerque 2008, Link: file:///Users/angelnavidad/Downloads/David%20Carrasco%20-%20The%20History%20of%20the%20Conquest%20of%20New%20Spain%20by%20Bernal%20Diaz%20del%20Castillo-University%20of%20New%20Mexico%20Press%20(2009).pdf"	http://bdh.bne.es/bnesearch/detalle/bdh0000012937 	
S 52	52	1	P	Catesby			xxx		2					"Natural History of Carolina, Florida and the Bahama Islands"				London	UK	1731	1743		Printed by Benjamin White	xxx	
S 53	53	0	A	Cave	R. Cave						Library Quarterly	46	1	Printing in Nineteenth-Century Belize						1976				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/4306599	
S 54	54	0	A	Cave 75	R. Cave						Jamaica Journal	9	2	Printing comes to Jamaica						1975				http://ufdc.ufl.edu/UF00090030/00027	
S 55	55	1	P	CDI			1251	1796	42					"Colección de documentos inéditos, relativos al descubrimiento, conquista y organización de las antiguas posesiones españolas de América y Oceanía, sacados de los archivos del reino, y muy especial del de las Indias"				Madrid	Spain	1864	1884			http://id.lib.harvard.edu/alma/99154275040603941/catalog	
S 56	56	1	P	CDIE			xxx		113					Colección de documentos inéditos para la historia de España				Madrid	Spain	1842	1895		112 vols [1842–95] mentioned in some literature /eg Díaz-Trechuelo Spínola 1970 Link: http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/america-en-la-coleccion-de-documentos-ineditos/docview/1300364864/se-2?accountid=11311 	http://id.lib.harvard.edu/alma/990072058750203941/catalog	
S 57	57	0	A	Cervera 19	A. E. Cervera Molina						Península	14	2	BELIZE AND YUCATAN THROUGH TRAVEL STORIES						2019				http://www.revistas.unam.mx/index.php/peninsula/article/view/70001	
S 58	58	0	A	Cervera 20	A. E. Cervera Molina						Anuario de Estudios Centroamericanos	46		A BACK AND FORTH JOURNEY. DIALOGUES BETWEEN ALEJANDRO JOSEPH DE GUELLE AND JAMES COOK						2020				https://doi.org/10.15517/aeca.v46i0.45040	
S 59	59	0	P	Chalmers	R. Chalmers				1					A History of Currency in the British Colonies				London	UK	1893				"Gale/Making Modern World: https://link.gale.com/apps/doc/U0112205310/MOME?u=camb55135&sid=MOME&xid=212bf46b&pg=1 
HathiTrust: https://hdl.handle.net/2027/uc2.ark:/13960/t12n56b7g"	
