Table 1
15 May 1739	Link	New-England Weekly Journal (630)	"Mortuary Notice. (1739, May 15"	"Mortuary Notice. (1739, May 15). New-England Weekly Journal (630)"	"Mortuary Notice. (1739, May 15). New-England Weekly Journal (630), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9E22E809B9B0%402356351-108C9E23398A7030%401-108C9E244EAC8FB0%40Mortuary%2BNotice."
17 May 1739	Link	Boston News-Letter (1834)	"Newport, Rhode-Island, May 11. (1739, May 17"	"Newport, Rhode-Island, May 11. (1739, May 17). Boston News-Letter (1834)"	"Newport, Rhode-Island, May 11. (1739, May 17). Boston News-Letter (1834), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105665E6E1CA65C3%402356353-105665E70EFE00E8%401-105665E76667F92C%40Newport%252C%2BRhode-Island%252C%2BMay%2B11."
28 Jan 1740	Link	Boston Post-Boy (303)	"[November; Capt. Stedman; Charming; Nancy; Passage; Plymouth; Capt. John Hadaway; Rhode-Island]. (1740, January 28"	"[November; Capt. Stedman; Charming; Nancy; Passage; Plymouth; Capt. John Hadaway; Rhode-Island]. (1740, January 28). Boston Post-Boy (303)"	"[November; Capt. Stedman; Charming; Nancy; Passage; Plymouth; Capt. John Hadaway; Rhode-Island]. (1740, January 28). Boston Post-Boy (303), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-1089CBC8ACE48DC0%402356609-1089CBC8C9C55F90%401-1089CBC91B9036A0%40%255BNovember%253B%2BCapt.%2BStedman%253B%2BCharming%253B%2BNancy%253B%2BPassage%253B%2BPlymouth%253B%2BCapt.%2BJohn%2BHadaway%253B%2BRhode-Island%255D."
18 Feb 1740	Link	Boston Evening-Post (237)	"Newport, Rhode-Island, Feb. 15. (1740, February 18"	"Newport, Rhode-Island, Feb. 15. (1740, February 18). Boston Evening-Post (237)"	"Newport, Rhode-Island, Feb. 15. (1740, February 18). Boston Evening-Post (237), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-1089C917E08702D8%402356630-1089C918158BE268%401-1089C9188CD8B628%40Newport%252C%2BRhode-Island%252C%2BFeb.%2B15."
21 Feb 1740	Link	Boston News-Letter (1874)	"New Port, Rhode-Island, Feb. 15. (1740, February 21"	"New Port, Rhode-Island, Feb. 15. (1740, February 21). Boston News-Letter (1874)"	"New Port, Rhode-Island, Feb. 15. (1740, February 21). Boston News-Letter (1874), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-10566603F1A1A7A2%402356633-10566603F665312B%400-105666044EA3735C%40New%2BPort%252C%2BRhode-Island%252C%2BFeb.%2B15."
17 Mar 1740	Link	Boston Evening-Post (241)		"Extract of a Letter from Capt. Williams, Master of the Scooner Whalebone, Going into the Bay of Honduras. (1740, March 17). Boston Evening-Post (241)"	"Extract of a Letter from Capt. Williams, Master of the Scooner Whalebone, Going into the Bay of Honduras. (1740, March 17). Boston Evening-Post (241), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-1089C91B33661C90%402356658-1089C91B5B31EA00%401-1089C91BB64E5418%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BCapt.%2BWilliams%252C%2BMaster%2Bof%2Bthe%2BScooner%2BWhalebone%252C%2BGoing%2Binto%2Bthe%2BBay%2Bof%2BHonduras."
20 Mar 1740	Link	Boston News-Letter (1878)		"Extract of a Letter from Capt. Williams, Master of the Scooner Whalebone, Going into the Bay of Honduras. (1740, March 20). Boston News-Letter (1878)"	"Extract of a Letter from Capt. Williams, Master of the Scooner Whalebone, Going into the Bay of Honduras. (1740, March 20). Boston News-Letter (1878), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105666075F1EC73B%402356661-105666079114EE7E%401-10566607F7934A74%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BCapt.%2BWilliams%252C%2BMaster%2Bof%2Bthe%2BScooner%2BWhalebone%252C%2BGoing%2Binto%2Bthe%2BBay%2Bof%2BHonduras."
21 Apr 1740	Link	Boston Post-Boy (315)	"Newport, Rhode-Island, April 18. (1740, April 21"	"Newport, Rhode-Island, April 18. (1740, April 21). Boston Post-Boy (315)"	"Newport, Rhode-Island, April 18. (1740, April 21). Boston Post-Boy (315), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-1089CBCE8F808568%402356693-1089CBCEB30BE6D0%402-1089CBCF02F2CE78%40Newport%252C%2BRhode-Island%252C%2BApril%2B18."
22 Apr 1740	Link	New-England Weekly Journal (679)	"Boston. Extract of a Letter from South Carolina, Dated March 23d. 1739, 40. (1740, April 22"	"Boston. Extract of a Letter from South Carolina, Dated March 23d. 1739, 40. (1740, April 22). New-England Weekly Journal (679)"	"Boston. Extract of a Letter from South Carolina, Dated March 23d. 1739, 40. (1740, April 22). New-England Weekly Journal (679), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9E7F29938630%402356694-108C9E7F7179F078%401-108C9E8041D31250%40Boston.%2BExtract%2Bof%2Ba%2BLetter%2Bfrom%2BSouth%2BCarolina%252C%2BDated%2BMarch%2B23d.%2B1739%252C%2B40."
24 Apr 1740	Link	Boston News-Letter (1883)	"Newport, Rhode-Island, April 18. (1740, April 24"	"Newport, Rhode-Island, April 18. (1740, April 24). Boston News-Letter (1883)"	"Newport, Rhode-Island, April 18. (1740, April 24). Boston News-Letter (1883), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-1056660A6DAE503C%402356696-1056660A92F45346%401-1056660AEE36DEAF%40Newport%252C%2BRhode-Island%252C%2BApril%2B18."
2 Oct 1740	Link	Boston News-Letter (1906)	"Rhode-Island, Sept. 26. (1740, October 2"	"Rhode-Island, Sept. 26. (1740, October 2). Boston News-Letter (1906)"	"Rhode-Island, Sept. 26. (1740, October 2). Boston News-Letter (1906), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-1056661CF8FED625%402356857-1056661D27472372%401-1056661D9541E13F%40Rhode-Island%252C%2BSept.%2B26."
7 Oct 1740	Link	New-England Weekly Journal (703)		"New-York, September 29. (1740, October 7). New-England Weekly Journal (703)"	"New-York, September 29. (1740, October 7). New-England Weekly Journal (703), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9EAC96A8A4D8%402356862-108C9EACABA52C08%400-108C9EAD71A5CB08%40New-York%252C%2BSeptember%2B29."
19 Mar 1741	Link	Boston News-Letter (1930)		"New-York, February 23d. (1741, March 19). Boston News-Letter (1930)"	"New-York, February 23d. (1741, March 19). Boston News-Letter (1930), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-1056662FB717B9D7%402357025-1056662FC04E320C%400-1056662FF55FA5BB%40New-York%252C%2BFebruary%2B23d."
23 Mar 1741	Link	Boston Evening-Post (294)		"New-York, Feb. 23. (1741, March 23). Boston Evening-Post (294)"	"New-York, Feb. 23. (1741, March 23). Boston Evening-Post (294), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-1089C95220BC7A58%402357029-1089C9523AEB57F0%400-1089C952AF6404E0%40New-York%252C%2BFeb.%2B23."
23 Mar 1741	Link	Boston Gazette (1022)		"New-York, Feb. 9th. (1741, March 23). Boston Gazette (1022)"	"New-York, Feb. 9th. (1741, March 23). Boston Gazette (1022), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-1046E0AC23B73E4B%402357029-1046E0AC29AEC4CC%400-1046E0AC8C220E4D%40New-York%252C%2BFeb.%2B9th."
24 Mar 1741	Link	New-England Weekly Journal (727)		"New-York, Feb. 9th. (1741, March 24). New-England Weekly Journal (727)"	"New-York, Feb. 9th. (1741, March 24). New-England Weekly Journal (727), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9EDB0FD329A8%402357030-108C9EDB21359640%400-108C9EDB851D9DB8%40New-York%252C%2BFeb.%2B9th."
15 Mar 1742	Link	Boston Evening-Post (345)	"Charlestown, in South Carolina, December 26. (1742, March 15"	"Charlestown, in South Carolina, December 26. (1742, March 15). Boston Evening-Post (345)"	"Charlestown, in South Carolina, December 26. (1742, March 15). Boston Evening-Post (345), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C792E64CF650%40EANX-1089C982CCAF7B78%402357386-1089C982E1903D48%400-1089C983575A9B70%40Charlestown%252C%2Bin%2BSouth%2BCarolina%252C%2BDecember%2B26."
15 Mar 1742	Link	Boston Post-Boy (347)	"From the South-Carolina, Gazette, Feb. 13, 1742. (1742, March 15"	"From the South-Carolina, Gazette, Feb. 13, 1742. (1742, March 15). Boston Post-Boy (347)"	"From the South-Carolina, Gazette, Feb. 13, 1742. (1742, March 15). Boston Post-Boy (347), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-1089CC036F853110%402357386-1089CC0376B6B2D8%400-1089CC03C7F1D428%40From%2Bthe%2BSouth-Carolina%252C%2BGazette%252C%2BFeb.%2B13%252C%2B1742."
18 Mar 1742	Link	Boston News-Letter (1982)	"Charlestown, South-Carolina, Jan. 22. (1742, March 18"	"Charlestown, South-Carolina, Jan. 22. (1742, March 18). Boston News-Letter (1982)"	"Charlestown, South-Carolina, Jan. 22. (1742, March 18). Boston News-Letter (1982), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-1056665605DCD7F5%402357389-10566656268209ED%401-1056665664D3FCAF%40Charlestown%252C%2BSouth-Carolina%252C%2BJan.%2B22."
15 Nov 1742	Link	Boston Post-Boy (413)	"Charlestown, (South-Carolina,) Sept. 20. (1742, November 15"	"Charlestown, (South-Carolina,) Sept. 20. (1742, November 15). Boston Post-Boy (413)"	"Charlestown, (South-Carolina,) Sept. 20. (1742, November 15). Boston Post-Boy (413), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1089C7C672FD2D48%40EANX-1089CC1DCF3FE670%402357631-1089CC1DE25BD278%401-1089CC1E1CB044D0%40Charlestown%252C%2B%2528South-Carolina%252C%2529%2BSept.%2B20."
