Table 1
	Rev	Exp	Exp Ln	Debt	Cf	N	Rev	Exp	Exp Ln	Debt	Cf	Note	
1912							"BZD	508,728"	"BZD	456,108"	"BZD	118,889"	"BZD	891,354"	Cmd. 2738		
1913							"BZD	539,881"	"BZD	485,847"	"BZD	87,563"	"BZD	891,354"	Cmd. 2738		
1914							"BZD	474,271"	"BZD	517,553"	"BZD	44,134"	"BZD	891,354"	Cmd. 2738		
1915							"BZD	486,309"	"BZD	505,790"	"BZD	1,488"	"BZD	891,354"	Cmd. 2738		
1916							"BZD	602,237"	"BZD	577,140"	"BZD	362"	"BZD	823,079"	Cmd. 2738		
1917							"BZD	636,246"	"BZD	635,367"	"BZD	481"	"BZD	823,079"	Cmd. 2738		
1918							"BZD	678,590"	"BZD	631,083"	"BZD	2,504"	"BZD	823,079"	Cmd. 2738		
1919							"BZD	1,002,622"	"BZD	923,770"	"BZD	1,007"	"BZD	823,079"	Cmd. 2738		
1920							"BZD	1,063,128"	"BZD	873,901"	"BZD	39,557"	"BZD	823,079"	Cmd. 2738		
1921							"BZD	1,039,862"	"BZD	1,327,372"	"BZD	132,273"	"BZD	625,997"	Cmd. 2738		
1922							"BZD	1,070,273"	"BZD	1,033,944"	"BZD	197,311"	"BZD	793,099"	Cmd. 3434		
1923							"BZD	1,028,520"	"BZD	1,132,084"	"BZD	262,413"	"BZD	701,645"	Cmd. 3434		
1924							"BZD	883,453"	"BZD	866,545"	"BZD	127,426"	"BZD	701,645"	Cmd. 3434		
1925							"BZD	937,382"	"BZD	913,073"	"BZD	35,519"	"BZD	701,645"	Cmd. 3434		
1926							"BZD	1,050,426"	"BZD	978,976"	"BZD	66,933"	"BZD	701,645"	Cmd. 3434		
1927							"BZD	1,005,057"	"BZD	1,046,334"	"BZD	65,326"	"BZD	701,645"	Cmd. 3434		
1928							"BZD	979,530"	"BZD	984,107"	"BZD	32,041"	"BZD	1,661,538"	Cmd. 5298		
1929							"BZD	974,952"	"BZD	961,221"	"BZD	4,577"	"BZD	1,757,661"	Cmd. 5298		
1930							"BZD	1,093,961"	"BZD	1,020,725"	"BZD	4,577"	"BZD	1,757,661"	Cmd. 5298		
1931							"BZD	823,903"	"BZD	974,952"	"BZD	9,154"	"BZD	1,757,661"	Cmd. 5298		
1932							"BZD	842,212"	"BZD	883,408"	"BZD	567,578"	"BZD	2,444,247"	Cmd. 5298		
1933							"BZD	993,261"	"BZD	901,716"	"BZD	425,683"	"BZD	2,540,369"	Cmd. 5298		
1934							"BZD	590,464"	"BZD	768,976"	"BZD	32,041"	"BZD	2,810,426"	Cmd. 5298	"Rev, Exp, Exp Ln, Debt exc last Q of fin yr"	
1935							"BZD	1,277,050"	"BZD	1,272,473"		"BZD	2,920,280"	Cmd. 5298		
1936													
1937							"BZD	1,551,160"	"BZD	1,531,400"			Cmd. 7167	All figs for calendar years	
1938							"BZD	1,740,840"	"BZD	1,872,870"		"BZD	3,080,198"	Cmd. 7167; Cmd. 6607	"Rev, Exp inc Exp Ln"	
1939							"BZD	1,966,860"	"BZD	1,966,860"			Cmd. 7167		
1940							"BZD	1,757,080"	"BZD	1,684,540"			Cmd. 7167		
1941							"BZD	1,575,730"	"BZD	1,523,340"			Cmd. 7167		
1942							"BZD	1,648,270"	"BZD	1,636,180"			Cmd. 7167		
1943							"BZD	1,877,980"	"BZD	1,837,680"			Cmd. 7167		
1944							"BZD	2,510,690"	"BZD	2,462,330"			Cmd. 7167		
1945							"BZD	2,506,660"	"BZD	2,530,840"			Cmd. 7167		
1946							"BZD	2,498,600"	"BZD	2,635,620"			Cmd. 7167		
1947							"BZD	2,505,798"	"BZD	2,909,985"			Col Rep 49	All figs for calendar years	
1948							"BZD	2,579,713"	"BZD	3,394,916"			Col Rep 49		
1949							"BZD	2,387,242"	"BZD	3,847,374"		"BZD	1,160,503"	Col Rep 49		
1950							"BZD	5,360,473"	"BZD	5,415,752"			Col Rep 52		
1951							"BZD	4,883,952"	"BZD	4,441,305"			Col Rep 52		
1952							"BZD	4,921,202"	"BZD	4,907,330"		"BZD	1,489,718"	Col Rep 52		
1953							"BZD	5,768,045"	"BZD	5,528,355"		"BZD	1,917,423"	Col Rep 54		
1954							"BZD	5,330,232"	"BZD	5,339,679"		"BZD	2,121,512"	Col Rep 54		
1955							"BZD	5,393,791"	"BZD	5,694,732"			Col Rep 56		
1956							"BZD	6,726,936"	"BZD	6,702,208"		"BZD	3,071,849"	Col Rep 56		
1957							"BZD	8,691,319"	"BZD	8,002,687"			Col Rep 58		
1958							"BZD	8,776,448"	"BZD	9,262,267"		"BZD	4,177,868"	Col Rep 58		
1959							"BZD	10,372,232"	"BZD	10,401,434"			Col Rep 59-61		
1960							"BZD	8,491,468"	"BZD	9,365,721"			Col Rep 59-61		
1961							"BZD	10,491,393"	"BZD	9,316,775"		"BZD	4,617,755"	Col Rep 59-61		
1962							"BZD	12,247,205"	"BZD	11,958,069"			Col Rep 62-63		
1963							"BZD	9,676,856"	"BZD	17,219,056"		"BZD	4,519,847"	Col Rep 62-63		
1964							"BZD	14,854,882"	"BZD	12,676,880"			Col Rep 64-65		
1965							"BZD	13,507,261"	"BZD	13,507,637"		"BZD	6,585,272"	Col Rep 64-65		
1966							"BZD	13,920,268"	"BZD	15,661,783"			Col Rep 66-67		
1967							"BZD	16,918,861"	"BZD	15,480,044"		"BZD	7,513,862"	Col Rep 66-67		
1968													
1969													
1970													
1971													
1972													
1973													
1974													
1975													
1976													
1977													
1978													
1979													
1980													
1981													
1982													
1983													
1984													
1985													
1986													
1987													
1988													
1989													
1990													
1991													
1992													
1993													
1994													
1995													
1996													
1997													
1998													
1999													
2000													
2001													
2002													
2003													
2004													
2005													
2006													
2007													
2008													
2009													
2010													
2011													
2012													
2013													
2014													
2015													
2016													
2017													
2018													
2019													
2020													
