C1—30 / Online collections of archival material.
ID	NO			ALT ID	AUTHORS	EDITORS			V		TITLE				CITY	COUNTRY	FIRST				LINK	
				McCusker	J. J. McCusker				1		"Money and exchange in Europe and America, 1600-1775: a handbook"				London	UK	1978				"file:///Users/angelnavidad/Downloads/John%20J.%20McCusker%20(auth.)%20-%20Money%20and%20Exchange%20in%20Europe%20and%20America,%201600–1775_%20A%20Handbook-Palgrave%20Macmillan%20UK%20(1978).pdf"	
				McKillop	H. McKillop				1		Salt: White Gold of the Ancient Maya				Gainesville	USA	2002				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17816	
				Molina	J. F. Molina Solís				3		Historia de Yucatán durante la dominación española				Merida	Mexico	1904				"Simurg v1: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V01/1/ 
Simurg v2: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V02/1/
Simurg v3: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V03/1/ "	
				Netherlands DNB					xxx		Biografisch Woordenboek van Nederland											
				Newton	A. P. Newton				1		The colonising activities of the English Puritans : the last phase of the Elizabethan struggle with Spain				London	UK	1914				http://www.llmcdigital.org.ezp-prod1.hul.harvard.edu/default.aspx?redir=31970	
				OED					xxx		Oxford English Dictionary											
				Oxford DNB					xxx		Dictionary of National Biography											
				Quezada	S. Quezada				1		La colonización de los mayas peninsulares				Merida	Mexico	2011				file:///Users/angelnavidad/Downloads/18-La%20colonización%20de%20los%20mayas%20peninsulares.pdf	
				RAE					xxx		Diccionario de la lengua española											
				RAH DNB					xxx		Diccionario Biográfico Español											
				Reed	N. Reed				1		The Caste War in Yucatan				Stanford	USA	1964				xxx	
				Ribot	M. T. Ribot				1		Belice: una historia olvidada				Mexico	Mexico	1993				https://books.openedition.org/cemca/319	
				Roberts	W. A. Roberts				1		"Sir Henry Morgan, buccaneer and governor"				New York	USA	1933				https://hdl.handle.net/2027/mdp.39015021845162	
				Roys 1	R. L. Roys				1		The Titles of Ebtun				Washington	USA	1939				https://hdl.handle.net/2027/txu.059173022901217	
				Roys 2	R. L. Roys				1		The Political Geography of the Yucatan Maya				Washington	USA	1957				https://hdl.handle.net/2027/uva.x000422247	
				Rugeley	T. Rugeley				1		"Rebellion Now and Forever : Mayas, Hispanics, and Caste War Violence in Yucatan : 1800—1880"				Stanford	USA	2009				"file:///Users/angelnavidad/Downloads/Terry%20Rugeley%20-%20Rebellion%20Now%20and%20Forever_%20Mayas,%20Hispanics,%20and%20Caste%20War%20Violence%20in%20Yucatan,%201800-1880%20(2009).pdf"	
				Southey	T. Southey				3		Chronological history of the West Indies				London	UK	1827				http://id.lib.harvard.edu/alma/990026569840203941/catalog	
				Squier	E. G. Squier				1		The states of Central America 				New York	USA	1858				"Gale/World Scholar: https://tinyurl.gale.com/tinyurl/DPB2g3 
Google: https://www.google.com/books/edition/The_States_of_Central_America/IHsaqv17bh8C?hl=en&gbpv=1&printsec=frontcover"	
				Toussaint		M. Toussaint			1		"Belice : textos de su historia, 1670-1981"				Mexico	Mexico	2004				xxx	
				UK BE		"R. Thomas, N. Dimsdale"			1		A millennium of UK data				London	UK	2016				https://www.bankofengland.co.uk/statistics/research-datasets	
				US BC					1		"Bicentennial Edition: Historical Statistics of the United States, Colonial Times to 1970"				Washington	USA	1949				https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html	
				US DNB					xxx		American National Biography											
				Winzerling	E. O. Winzerling				1		"The Beginning of British Honduras, 1506-1765"				New York	USA	1946				https://ufdc.ufl.edu/UF00099216/00001	
				Wombwell	J. A. Wombwell				1		Long War Against Piracy				Fort Leavenworth	USA	2010				https://www.hsdl.org/?view&did=23760	
				Yucatan DNB							Yucatán en el tiempo : enciclopedia alfabética										xxx	
