Table 1
22 Nov 1742	Link	New-York Weekly Journal (470)	"Boston, October 11."		"Boston, October 11. (1742, November 22). New-York Weekly Journal (470)"	"Boston, October 11. (1742, November 22). New-York Weekly Journal (470), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4D75AA5CE7A%402357638-1062A4D778F18EE4%403-1062A4D7E5F59B77%40Boston%252C%2BOctober%2B11."
20 Dec 1742	Link	New-York Weekly Journal (474)	"CharleS-Town, South Carolina, October 4."	"CharleS-Town, South Carolina, October 4. (1742, December 20"	"CharleS-Town, South Carolina, October 4. (1742, December 20). New-York Weekly Journal (474)"	"CharleS-Town, South Carolina, October 4. (1742, December 20). New-York Weekly Journal (474), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4DA02789A47%402357666-1062A4DA1C579AA6%402-1062A4DA5283015C%40CharleS-Town%252C%2BSouth%2BCarolina%252C%2BOctober%2B4."
18 Nov 1745	Link	New-York Evening Post (52)	"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17."		"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17. (1745, November 18). New-York Evening Post (52)"	"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17. (1745, November 18). New-York Evening Post (52), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951C6B65E9CB98%402358730-10951C6BE4217748%403-10951C6CE02C0DB0%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BCharlestown%2Bin%2BS.%2BCarolina%252C%2BDated%2BOct.%2B17."
18 Nov 1745	Link	New-York Evening Post (52)	"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17."	"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17. (1745, November 18"	"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17. (1745, November 18). New-York Evening Post (52)"	"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17. (1745, November 18). New-York Evening Post (52), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951C6B65E9CB98%402358730-10951C6BE4217748%403-10951C6CE02C0DB0%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BCharlestown%2Bin%2BS.%2BCarolina%252C%2BDated%2BOct.%2B17."
19 Mar 1749	Link	New-York Weekly Journal (847)	"Boston, March 1, 1749-50."		"Boston, March 1, 1749-50. (1749, March 19). New-York Weekly Journal (847)"	"Boston, March 1, 1749-50. (1749, March 19). New-York Weekly Journal (847), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A565F1DEB040%402359947-1062A566163D275D%402-1062A56660995403%40Boston%252C%2BMarch%2B1%252C%2B1749-50."
19 Mar 1749	Link	New-York Weekly Journal (847)	"Boston, March 1, 1749-50."		"Boston, March 1, 1749-50. (1749, March 19). New-York Weekly Journal (847)"	"Boston, March 1, 1749-50. (1749, March 19). New-York Weekly Journal (847), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A565F1DEB040%402359947-1062A566163D275D%402-1062A56660995403%40Boston%252C%2BMarch%2B1%252C%2B1749-50."
19 Mar 1750	Link	New-York Evening Post (252)	Boston. February 26.		"Boston. February 26. (1750, March 19). New-York Evening Post (252)"	"Boston. February 26. (1750, March 19). New-York Evening Post (252), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951D7256EB2448%402360312-10951D72D3D46698%402-10951D73ECAF25E0%40Boston.%2BFebruary%2B26."
19 Mar 1750	Link	"New-York Gazette, or Weekly Post-Boy (374)"	"Boston, March 5."		"Boston, March 5. (1750, March 19). New-York Gazette, or Weekly Post-Boy (374)"	"Boston, March 5. (1750, March 19). New-York Gazette, or Weekly Post-Boy (374), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAC622804B488%402360312-10DAAC6254B1ED88%401-10DAAC63047A02E8%40Boston%252C%2BMarch%2B5."
19 Mar 1750	Link	New-York Evening Post (252)	Boston. February 26.		"Boston. February 26. (1750, March 19). New-York Evening Post (252)"	"Boston. February 26. (1750, March 19). New-York Evening Post (252), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951D7256EB2448%402360312-10951D72D3D46698%402-10951D73ECAF25E0%40Boston.%2BFebruary%2B26."
19 Mar 1750	Link	"New-York Gazette, or Weekly Post-Boy (374)"	"Boston, March 5."		"Boston, March 5. (1750, March 19). New-York Gazette, or Weekly Post-Boy (374)"	"Boston, March 5. (1750, March 19). New-York Gazette, or Weekly Post-Boy (374), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAC622804B488%402360312-10DAAC6254B1ED88%401-10DAAC63047A02E8%40Boston%252C%2BMarch%2B5."
21 May 1750	Link	New-York Evening Post (261)	"Kingston in Jamaica, March 31."		"Kingston in Jamaica, March 31. (1750, May 21). New-York Evening Post (261)"	"Kingston in Jamaica, March 31. (1750, May 21). New-York Evening Post (261), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951D83CF14C378%402360375-10951D840B0EF2A8%401-10951D84DC5C6428%40Kingston%2Bin%2BJamaica%252C%2BMarch%2B31."
17 Dec 1750	Link	"New-York Gazette, or Weekly Post-Boy (413)"	"Charles-Town, in So. Carolina, November 5."	"Charles-Town, in So. Carolina, November 5. (1750, December 17"	"Charles-Town, in So. Carolina, November 5. (1750, December 17). New-York Gazette, or Weekly Post-Boy (413)"	"Charles-Town, in So. Carolina, November 5. (1750, December 17). New-York Gazette, or Weekly Post-Boy (413), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAABE034C3E770%402360585-10DAABE062D8C6C0%401-10DAABE0F47C7278%40Charles-Town%252C%2Bin%2BSo.%2BCarolina%252C%2BNovember%2B5."
31 Dec 1750	Link	"New-York Gazette, or Weekly Post-Boy (415)"	"An Extract of a Letter from Amsterdam, Dated October 1."		"An Extract of a Letter from Amsterdam, Dated October 1. (1750, December 31). New-York Gazette, or Weekly Post-Boy (415)"	"An Extract of a Letter from Amsterdam, Dated October 1. (1750, December 31). New-York Gazette, or Weekly Post-Boy (415), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAABE37502D8B8%402360599-10DAABE3AED62490%401-10DAABE47156B4F0%40An%2BExtract%2Bof%2Ba%2BLetter%2Bfrom%2BAmsterdam%252C%2BDated%2BOctober%2B1."
28 Jan 1751	Link	"New-York Gazette, or Weekly Post-Boy (419)"	"Extract of a Letter from Capt. Wasse Rand, Dated at Kingston in Jamaica, November 25."		"Extract of a Letter from Capt. Wasse Rand, Dated at Kingston in Jamaica, November 25. (1751, January 28). New-York Gazette, or Weekly Post-Boy (419)"	"Extract of a Letter from Capt. Wasse Rand, Dated at Kingston in Jamaica, November 25. (1751, January 28). New-York Gazette, or Weekly Post-Boy (419), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD75515A71A0%402360627-10DAAD75854CEF00%401-10DAAD7642639E38%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BCapt.%2BWasse%2BRand%252C%2BDated%2Bat%2BKingston%2Bin%2BJamaica%252C%2BNovember%2B25."
11 Feb 1751	Link	"New-York Gazette, or Weekly Post-Boy (421)"	"Boston, January 21."		"Boston, January 21. (1751, February 11). New-York Gazette, or Weekly Post-Boy (421)"	"Boston, January 21. (1751, February 11). New-York Gazette, or Weekly Post-Boy (421), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAACB2255E5C48%402360641-10DAACB2552BE430%401-10DAACB31B9DCF18%40Boston%252C%2BJanuary%2B21."
