C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	NO.	UNITS	ITEM	REPOSITORY	CITY	COUNTRY					VIA	NOTE	
		MS		1869	1884	1	items	Correspondence and papers on churches outside the diocese of London	Lambeth Palace	London	UK						https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=FP%2fJackson%2fF%2f54	
		MS		1802	1891	448	vols	"Tait, Archibald Campbell (1811-1882)"	Lambeth Palace	London	UK						https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=Tait	
		MS		1642	1972	7	series	Christian Faith Society	Lambeth Palace	London	UK						https://archives.lambethpalacelibrary.org.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=CFS	
		MS		1809	1888	2500	items	Ephraim George Squier Papers	Library of Congress	Washington	USA						https://lccn.loc.gov/mm79041087	
		MS		1763	1763	1	items	Leverpool	Liverpool Record Office	Liverpool	UK						"Ref 920 NIC/5/5/74
TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/65573d34-8ceb-4e7d-83ce-1859b0d115be"	
		MS		1832	1890	104	items	Samuel McCutchon papers	Louisiana State University	Baton Rouge	USA						https://www.lib.lsu.edu/sites/default/files/sc/findaid/1049m.pdf	
		MS		1700	1721	1	vols	"Council of Trade and Plantations letter book, Mss. 680"	Louisiana State University	Baton Rouge	USA						https://lsu.ent.sirsi.net/client/en_US/lsu/search/detailnonmodal/ent:$002f$002fSD_LSU$002f0$002fSD_LSU:1254833/one	
		MS		xxx		xxx		Manuscripts	Massachusetts Historical Society	Boston	USA						https://www.masshist.org/collection-guides/browse/manuscript-guides	
		MS	"Mus Nav, Col Nav, d"	1492	1773	32	vols	Colección Navarrete	Museo Naval	Madrid	Spain					D. Higueras Rodriguez Link: https://armada.defensa.gob.es/archivo/mardigitalrevistas/cuadernosihcn/24cuaderno/04cap.pdf 	"Some volumes or items possibly deposited in Archivo General de la Marina ""Álvaro de Bazán,” Ciudad Real, Spain /Higueras Rodriguez p35"	
		MS	"Old WIC, 1.05.01.01, d"	1621	1711	99	items	"Inventaris van het archief van de Oude West-Indische Compagnie (Oude WIC), 1621-1674 (1711)"	Nationaal Archief	Hague	Netherlands					NA Hague Inventories	"“Inventarisnummers” rendered as “items”
NA Hague Inventories Link: https://www.nationaalarchief.nl/onderzoeken/zoeken?activeTab=archives "	
		MS	"States-General, 1.01.02, d"	1431	1796	17734	items	"Inventaris van het archief van de Staten-Generaal, (1431) 1576-1796"	Nationaal Archief	Hague	Netherlands					NA Hague Inventories		
		MS	C 110/152	1681	1812	1	series	Commercial correspondence and accounts	National Archives	Kew	UK						Particularly Brailsford v Peers records [1681–94]	
		MS	SP d/d	1231	1888	127	series	"Records assembled by the State Paper Office, including papers of the Secretaries of State up to 1782"	National Archives	Kew	UK					TNA Kew Catalogue	Cited as SPF Archives / SPF Spain in Burdon 1–3	
		MS	FO d/d	1567	2004	1113	series	Records created or inherited by the Foreign Office	National Archives	Kew	UK					TNA Kew Catalogue		
		MS	ADM d/d	1205	1998	363	series	"Records of the Admiralty, Naval Forces, Royal Marines, Coastguard, and related bodies"	National Archives	Kew	UK					TNA Kew Catalogue		
		MS	CUST d/d	1554	2019	208	series	"Records of the Boards of Customs, Excise, and Customs and Excise, and HM Revenue and Customs"	National Archives	Kew	UK					TNA Kew Catalogue		
		MS	CO d/d	1570	1990	1073	series	"Records of the Colonial Office, Commonwealth and Foreign and Commonwealth Offices, Empire Marketing Board, and related bodies"	National Archives	Kew	UK					TNA Kew Catalogue	"TNA Kew Catalogue, Link: https://discovery.nationalarchives.gov.uk/ "	
		MS	FCO d/d	1878	2019	188	series	Records of the Foreign and Commonwealth Office and predecessors	National Archives	Kew	UK					TNA Kew Catalogue		
		MS		1788	1990	xxx		"Record Group 84, Records of the Foreign Service Posts of the Department of State"	National Archives and Records Administration	Washington	USA							
		MS		1780	1815	1184	items	Nugent Papers	National Army Museum	London	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/c9a48450-da31-492e-b151-6ca2342ba7a4	
