Table 1
CF	OID	URL	URL	DATE	DATE	SCOPE	MIL	OLD NOTES	NOTES	EXTRACT	
GT 39 ram 15 no 102	c10	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348743	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348743	22 Nov 1617	1617-11-22.	"CARTAS DE GOBERNADORES/Memorial de García Garabito de León y Mendoza, Gobernador de Honduras, y testimonio de autos sobre la toma de cuentas a los oficiales reales de Honduras de los años 1614, 1615 y 1616."	0	"re memo de gob y testimonio de autos sobre la toma de cuentas a los oficiales reales de los años 1614, 1615 y 1616 /v PARES cat / ^^^"	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 78	c78	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347117	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347117	10 Dec 1617	1617-12-10.	"CARTAS DE AUDIENCIA/Copia de Real Cédula al conde de la Gomera, presidente de la Audiencia, sobre el cobro de los morenos."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 79	c79	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347118	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347118	31 Dec 1617	1617-12-31.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 80	c81	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347119	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347119	31 Dec 1617	1617-12-31.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala/.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 13 ram 9 no 81	c80	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347120	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347120	31 Dec 1617	1617-12-31.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala/.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 1	c82	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347122	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347122	28 Jan 1618	1618-01-28.	"CARTAS DE AUDIENCIA/Carta de Antonio Coello de Portugal, fiscal de la Audiencia de Guatemala."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 2	c83	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347123	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347123	25 Feb 1618	1618-02-25.	"CARTAS DE AUDIENCIA/Real Cédula para que ni oidores, alcaldes ni fiscales de las Audiencias de las Indias, usen poderes de nadie en razón de la cobranza de deudas."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 3	c84	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347124	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347124	6 Jun 1618	1618-06-06.	"CARTAS DE AUDIENCIA/Testimonio de la recusación que hace Antonio Coello de Portugal, fiscal de la Audiencia de Guatemala, al conde de la Gomera, su presidente."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 4	c86	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347125	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347125	9 Jun 1618	1618-06-09.	"CARTAS DE AUDIENCIA/Auto de prisión contra Antonio Coello de Portugal, fiscal de la Audiencia de Guatemala."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 5	c85	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347126	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347126	9 Jun 1618	1618-06-09.	CARTAS DE AUDIENCIA/Testimonio de lo que ha entrado en la Caja Real correspondiente a bienes de difuntos para 1617.	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 6	c87	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347127	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347127	11 Jun 1618	1618-06-11.	"CARTAS DE AUDIENCIA/Carta de Gaspar de Zúñiga, oidor de la Audiencia de Guatemala."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 7	c88	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347128	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347128	12 Jun 1618	1618-06-12.	"CARTAS DE AUDIENCIA/Testimonio de lo que mandó entrar en la caja, Pedro Sánchez de Araque, durante el año de su juzgado."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 10	c91	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347131	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347131	15 Jun 1618	1618-06-15.	"CARTAS DE AUDIENCIA/Memorial de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 8	c89	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347129	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347129	15 Jun 1618	1618-06-15.	"CARTAS DE AUDIENCIA/Carta de Matías de Solís Ulloa y Quiñones, oidor de la Audiencia de Guatemala."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 9	c90	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347130	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347130	15 Jun 1618	1618-06-15.	CARTAS DE AUDIENCIA/Testimonio de los autos en que se mandó el fiscal que siguiese ciertos pleitos fiscales y de hacienda.	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 11	c92	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347132	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347132	16 Jun 1618	1618-06-16.	"CARTAS DE AUDIENCIA/Testimonio de autos sobre la actuación de Antonio Coello de Portugal, fiscal de la Audiencia de Guatemala."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 12	c93	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347133	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347133	17 Jun 1618	1618-06-17.	"CARTAS DE AUDIENCIA/Testimonio de autos sobre la queja presentada por Juan Pereira de Benavides con respecto a la actuación de Antonio Coello de Portugal, fiscal de la Audiencia de Guatemala."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 13	c96	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347134	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347134	20 Jun 1618	1618-06-20.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
